,Source,,Relation,,Target
 ● ,N_Alcmaeon II, ● ,is associated with, ● ,N_Bathyllus
 ● ,N_Alcmaeon II, ● ,is associated with, ● ,N_Brontinus
 ● ,N_Alcmaeon II, ● ,is associated with, ● ,N_Leon V
 ● ,N_Alcmaeon II, ● ,is family of, ● ,N_Pirithous
 ● ,N_Alexander, ● ,refers to, ● ,N_Xenocrates
 ● ,N_Alexander, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Alexander II, ● ,refers to, ● ,N_Carneades
 ● ,N_Alexander II, ● ,refers to, ● ,N_Philocomus
 ● ,N_Alexander II, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Alexander II, ● ,is benefactor of, ● ,N_Xenocrates
 ● ,N_Alexander II, ● ,refers to, ● ,N_Socrates
 ● ,N_Alexander II, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Alexander II, ● ,refers to, ● ,N_Damon
 ● ,N_Alexinus, ● ,traveled to, ● ,G_Olympian Zeus sanctuary (Eleia)
 ● ,N_Alexinus, ● ,refers to, ● ,N_Zeno
 ● ,N_Alexinus, ● ,is teacher of, ● ,N_Dionysius IV
 ● ,N_Alexinus, ● ,is from, ● ,G_Elis
 ● ,N_Alexinus, ● ,refers to, ● ,N_Ephorus
 ● ,N_Alexo, ● ,is from, ● ,G_Myndus
 ● ,N_Alexo, ● ,refers to, ● ,N_Thyrion
 ● ,N_Alyattes, ● ,is adversary of, ● ,N_Bias
 ● ,N_Alyattes, ● ,is family of, ● ,N_Croesus
 ● ,N_Amasis, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Ambryon, ● ,refers to, ● ,N_Theocritus
 ● ,N_Ambryon, ● ,refers to, ● ,G_Borboros
 ● ,N_Ambryon, ● ,refers to, ● ,N_Aristotle
 ● ,N_Ameinias IV, ● ,is family of, ● ,N_Diochaetas
 ● ,N_Ameipsias, ● ,refers to, ● ,N_Socrates
 ● ,N_Amphicrates, ● ,refers to, ● ,N_Theodorus
 ● ,N_Amphicritus, ● ,is friend of, ● ,N_Arcesilaus
 ● ,N_Amphicritus, ● ,is from, ● ,G_Eretria
 ● ,N_Amyclas, ● ,is associated with, ● ,N_Pythagoreans
 ● ,N_Amyclas, ● ,is associated with, ● ,N_Plato
 ● ,N_Amyntas, ● ,is family of, ● ,N_Philip
 ● ,N_Amyntas, ● ,is friend of, ● ,N_Aristotle
 ● ,N_Amyntas, ● ,is from, ● ,G_Macedonia
 ● ,N_Anacharsis, ● ,traveled to, ● ,G_Sardis
 ● ,N_Anacharsis, ● ,sent letters to, ● ,N_Croesus
 ● ,N_Anacharsis, ● ,is family of, ● ,N_Gnurus
 ● ,N_Anacharsis, ● ,traveled to, ● ,G_Athenae
 ● ,N_Anacharsis, ● ,is from, ● ,G_Skythai
 ● ,N_Anaxagoras, ● ,traveled to, ● ,G_Halicarnassus
 ● ,N_Anaxagoras, ● ,is associated with, ● ,G_Aegospotami
 ● ,N_Anaxagoras, ● ,is from, ● ,G_Clazomenae
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Empedocles
 ● ,N_Anaxagoras, ● ,is family of, ● ,N_Eubulus II
 ● ,N_Anaxagoras, ● ,traveled to, ● ,G_Ionia region (Asia Minor)
 ● ,N_Anaxagoras, ● ,traveled to, ● ,G_Lampsacus
 ● ,N_Anaxagoras, ● ,refers to, ● ,N_Homer
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Damon
 ● ,N_Anaxagoras, ● ,traveled to, ● ,G_Athenae
 ● ,N_Anaxagoras, ● ,is associated with, ● ,N_Xenophanes
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Archelaus
 ● ,N_Anaxagoras, ● ,is associated with, ● ,G_Persia
 ● ,N_Anaxagoras, ● ,is family of, ● ,N_Hegesibulus
 ● ,N_Anaxagoras, ● ,is adversary of, ● ,N_Democritus
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Pericles
 ● ,N_Anaxagoras, ● ,traveled to, ● ,G_Olympian Zeus sanctuary (Eleia)
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Euripides
 ● ,N_Anaxagoras, ● ,is teacher of, ● ,N_Socrates
 ● ,N_Anaxarchus, ● ,is associated with, ● ,N_Zeus
 ● ,N_Anaxarchus, ● ,is associated with, ● ,N_Alexander
 ● ,N_Anaxarchus, ● ,traveled to, ● ,G_Cyprus
 ● ,N_Anaxarchus, ● ,is from, ● ,G_Abdera
 ● ,N_Anaxarchus, ● ,is associated with, ● ,N_Persephone
 ● ,N_Anaxarchus, ● ,is adversary of, ● ,N_Nicocreon
 ● ,N_Anaxilaus, ● ,refers to, ● ,N_Myson
 ● ,N_Anaximander, ● ,is from, ● ,G_Miletus
 ● ,N_Anaximander, ● ,is family of, ● ,N_Praxiades
 ● ,N_Anaximander, ● ,is teacher of, ● ,N_Anaximenes
 ● ,N_Anaximander, ● ,refers to, ● ,N_Apollodorus
 ● ,N_Anaximander, ● ,is teacher of, ● ,N_Parmenides
 ● ,N_Anaximander, ● ,is adversary of, ● ,N_Empedocles
 ● ,N_Anaximander II, ● ,is from, ● ,G_Miletus
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Crotone
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Sicily
 ● ,N_Anaximenes, ● ,refers to, ● ,N_Thales
 ● ,N_Anaximenes, ● ,is family of, ● ,N_Eurystratus
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Persia
 ● ,N_Anaximenes, ● ,is from, ● ,G_Miletus
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Samos
 ● ,N_Anaximenes, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Ionia region (Asia Minor)
 ● ,N_Anaximenes, ● ,is teacher of, ● ,N_Diogenes
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Hellas
 ● ,N_Anaximenes, ● ,is teacher of, ● ,N_Anaxagoras
 ● ,N_Anaximenes, ● ,refers to, ● ,G_Italy
 ● ,N_Anaximenes, ● ,sent letters to, ● ,N_Pythagoras
 ● ,N_Anaximenes II, ● ,refers to, ● ,N_Alexander
 ● ,N_Anaximenes II, ● ,is from, ● ,G_Lampsacus
 ● ,N_Anaximenes III, ● ,is from, ● ,G_Lampsacus
 ● ,N_Anaximenes III, ● ,is family of, ● ,N_Anaximenes II
 ● ,N_Anchipylus, ● ,traveled to, ● ,G_Elis
 ● ,N_Anchitus, ● ,is family of, ● ,N_Asclepius
 ● ,N_Andron, ● ,refers to, ● ,N_Aristodemus
 ● ,N_Andron, ● ,refers to, ● ,N_Chilon
 ● ,N_Anniceris, ● ,is friend of, ● ,N_Plato
 ● ,N_Anniceris, ● ,is teacher of, ● ,N_Theodorus
 ● ,N_Antagoras, ● ,refers to, ● ,N_Polemo
 ● ,N_Antagoras, ● ,refers to, ● ,N_Crates
 ● ,N_Anticlides, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Anticlides, ● ,refers to, ● ,N_Moeris
 ● ,N_Antigonus, ● ,refers to, ● ,N_Lyco
 ● ,N_Antigonus, ● ,refers to, ● ,N_Anaxagoras III
 ● ,N_Antigonus, ● ,is from, ● ,G_Carystus
 ● ,N_Antigonus, ● ,traveled to, ● ,G_Lysimachia
 ● ,N_Antigonus, ● ,is associated with, ● ,N_Persaeus
 ● ,N_Antigonus, ● ,refers to, ● ,N_Philostratus
 ● ,N_Antigonus, ● ,refers to, ● ,N_Zeno II
 ● ,N_Antigonus, ● ,refers to, ● ,N_Democritus III
 ● ,N_Antigonus, ● ,is associated with, ● ,G_Eretria
 ● ,N_Antigonus, ● ,refers to, ● ,N_Polemo
 ● ,N_Antigonus, ● ,is associated with, ● ,G_Megara (Attica)
 ● ,N_Antigonus, ● ,is associated with, ● ,N_Eurylochus II
 ● ,N_Antigonus, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Antigonus, ● ,refers to, ● ,N_Crantor
 ● ,N_Antigonus, ● ,refers to, ● ,N_Crates
 ● ,N_Antigonus III, ● ,is benefactor of, ● ,N_Cleanthes
 ● ,N_Antigonus III, ● ,refers to, ● ,N_Lyco
 ● ,N_Antigonus III, ● ,is from, ● ,G_Macedonia
 ● ,N_Antigonus III, ● ,is benefactor of, ● ,N_Zeno II
 ● ,N_Antigonus III, ● ,traveled to, ● ,G_Athenae
 ● ,N_Antilochus, ● ,is adversary of, ● ,N_Socrates
 ● ,N_Antilochus, ● ,is from, ● ,G_Lemnos
 ● ,N_Antipater, ● ,is family of, ● ,N_Aristotle
 ● ,N_Antipater, ● ,is teacher of, ● ,N_Epitimides
 ● ,N_Antipater, ● ,is from, ● ,G_Cyrene
 ● ,N_Antipater III, ● ,is from, ● ,G_Tyre
 ● ,N_Antipater IV, ● ,is teacher of, ● ,N_Heraclides IV
 ● ,N_Antipater IV, ● ,is from, ● ,G_Tarsus
 ● ,N_Antipater V, ● ,refers to, ● ,N_Zeno II
 ● ,N_Antiphon, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Antishenes, ● ,refers to, ● ,N_Meletus
 ● ,N_Antishenes, ● ,refers to, ● ,N_Zeno
 ● ,N_Antishenes, ● ,refers to, ● ,N_Heraclitus
 ● ,N_Antishenes, ● ,refers to, ● ,N_Democritus
 ● ,N_Antishenes, ● ,refers to, ● ,N_Anytus
 ● ,N_Antishenes, ● ,refers to, ● ,N_Dionysius V
 ● ,N_Antishenes, ● ,refers to, ● ,N_Anniceris
 ● ,N_Antishenes, ● ,refers to, ● ,N_Theodorus
 ● ,N_Antishenes, ● ,refers to, ● ,N_Lycon
 ● ,N_Antishenes, ● ,refers to, ● ,N_Diogenes
 ● ,N_Antisthenes II, ● ,refers to, ● ,NF_Phemonoe
 ● ,N_Antisthenes II, ● ,refers to, ● ,N_Cleanthes
 ● ,N_Antisthenes II, ● ,refers to, ● ,N_Sophocles
 ● ,N_Antisthenes II, ● ,refers to, ● ,N_Chilon
 ● ,N_Anytus, ● ,is adversary of, ● ,N_Socrates
 ● ,N_Anytus, ● ,is associated with, ● ,N_Aristophanes
 ● ,N_Anytus, ● ,traveled to, ● ,G_Heraclea
 ● ,N_Apollo, ● ,is associated with, ● ,G_Delos
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Socrates
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Democritus
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Zeno
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Aristotle
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Plato
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Apsephion
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Carneades
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Anaximenes
 ● ,N_Apollodorus, ● ,refers to, ● ,G_Mitylene
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Eudoxus III
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Protagoras
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Melissus
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Thales
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Crates
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Anaxagoras
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Empedocles
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Arcesilaus
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Xenophanes
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Eudoxus
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Apollodorus, ● ,refers to, ● ,N_Strato
 ● ,N_Apollodorus II, ● ,refers to, ● ,N_Solon
 ● ,N_Apollodorus III, ● ,refers to, ● ,N_Solon
 ● ,N_Apollodorus IV, ● ,is friend of, ● ,N_Socrates
 ● ,N_Apollodorus V, ● ,refers to, ● ,N_Epicurus
 ● ,N_Apollodorus V, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Apollodorus VI, ● ,is from, ● ,G_Cyzicus
 ● ,N_Apollodorus VI, ● ,refers to, ● ,N_Democritus
 ● ,N_Apollodorus VI, ● ,refers to, ● ,N_Philolaus
 ● ,N_Apollodorus VII, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Apollodorus X, ● ,is family of, ● ,N_Archelaus
 ● ,N_Apollonius II, ● ,is from, ● ,G_Tyre
 ● ,N_Apollonius II, ● ,refers to, ● ,N_Zeno II
 ● ,N_Apollonius II, ● ,refers to, ● ,N_Crates II
 ● ,N_Apollonius II, ● ,refers to, ● ,N_Stilpo
 ● ,N_Apollothemis, ● ,is family of, ● ,N_Diogenes
 ● ,N_Apsephion, ● ,is from, ● ,G_Athenae
 ● ,N_Arcesilaus, ● ,is family of, ● ,N_Thaumasias
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Sophocles
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Euripides
 ● ,N_Arcesilaus, ● ,is family of, ● ,N_Philetaerus
 ● ,N_Arcesilaus, ● ,is from, ● ,G_Aeolis
 ● ,N_Arcesilaus, ● ,is family of, ● ,N_Seuthes II
 ● ,N_Arcesilaus, ● ,traveled to, ● ,G_Athenae
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Demochares
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Aridices
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Pindar
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Pythocles
 ● ,N_Arcesilaus, ● ,is adversary of, ● ,N_Cleanthes
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Menedemus
 ● ,N_Arcesilaus, ● ,is family of, ● ,N_Moereas
 ● ,N_Arcesilaus, ● ,is teacher of, ● ,N_Crates
 ● ,N_Arcesilaus, ● ,is friend of, ● ,N_Demetrius XXVIII
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Homer
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Plato
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Polemo
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Eugamus
 ● ,N_Arcesilaus, ● ,is adversary of, ● ,N_Hemon
 ● ,N_Arcesilaus, ● ,is friend of, ● ,N_Hierocles
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Epicurus
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Archecrates
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Halcyoneus
 ● ,N_Arcesilaus, ● ,is teacher of, ● ,N_Chrysippus
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Theophrastus
 ● ,N_Arcesilaus, ● ,is family of, ● ,N_Pylades II
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Attalus
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Pyrrho
 ● ,N_Arcesilaus, ● ,is from, ● ,G_Pitane
 ● ,N_Arcesilaus, ● ,traveled to, ● ,G_Demetrias (Magnesia)
 ● ,N_Arcesilaus, ● ,sent letters to, ● ,N_Antigonus III
 ● ,N_Arcesilaus, ● ,is friend of, ● ,NF_Phila
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Diodorus
 ● ,N_Arcesilaus, ● ,is associated with, ● ,N_Archias
 ● ,N_Arcesilaus, ● ,is friend of, ● ,NF_Theodete
 ● ,N_Arcesilaus, ● ,traveled to, ● ,G_Sardis
 ● ,N_Arcesilaus, ● ,is friend of, ● ,N_Diogenes XIII
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Philoxenus
 ● ,N_Arcesilaus, ● ,is friend of, ● ,N_Ctesibius II
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Menodorus
 ● ,N_Arcesilaus, ● ,studied the work of, ● ,N_Callicrates
 ● ,N_Arcesilaus, ● ,refers to, ● ,N_Alexinus
 ● ,N_Arcesilaus II, ● ,is from, ● ,G_Lampsacus
 ● ,N_Arcesilaus II, ● ,is family of, ● ,N_Strato
 ● ,N_Archagoras, ● ,is family of, ● ,N_Theodotus
 ● ,N_Archelaus, ● ,is family of, ● ,N_Midon
 ● ,N_Archelaus, ● ,is family of, ● ,N_Apollodorus
 ● ,N_Archelaus, ● ,is from, ● ,G_Miletus
 ● ,N_Archelaus, ● ,is teacher of, ● ,N_Xenophanes
 ● ,N_Archelaus, ● ,is teacher of, ● ,N_Socrates
 ● ,N_Archelaus, ● ,is from, ● ,G_Athenae
 ● ,N_Archelaus, ● ,traveled to, ● ,G_Samos
 ● ,N_Archelaus, ● ,is associated with, ● ,N_Oenopides
 ● ,N_Archelaus II, ● ,is from, ● ,G_Macedonia
 ● ,N_Archetimus, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Archetimus, ● ,is from, ● ,G_Syracuse
 ● ,N_Archias, ● ,is associated with, ● ,N_Eumenes
 ● ,N_Archias, ● ,is from, ● ,G_Arkadia region
 ● ,N_Archilochus, ● ,is associated with, ● ,N_Sceptics
 ● ,N_Archipolis, ● ,is associated with, ● ,N_Asclepiades
 ● ,N_Archipolis, ● ,is associated with, ● ,N_Menedemus
 ● ,N_Archytas, ● ,is family of, ● ,N_Mnesagoras
 ● ,N_Archytas, ● ,is associated with, ● ,N_Ocellus
 ● ,N_Archytas, ● ,traveled to, ● ,G_Lucania
 ● ,N_Archytas, ● ,is from, ● ,G_Taras/Tarentum/Neptunia
 ● ,N_Archytas, ● ,sent letters to, ● ,N_Plato
 ● ,N_Archytas, ● ,refers to, ● ,N_Teucer
 ● ,N_Archytas, ● ,is teacher of, ● ,N_Eudoxus
 ● ,N_Archytas, ● ,refers to, ● ,N_Lamiscus
 ● ,N_Ariarathes, ● ,is from, ● ,G_Cappadocia
 ● ,N_Aristagoras, ● ,is family of, ● ,N_Eudoxus
 ● ,N_Aristagoras, ● ,is family of, ● ,N_Chrysippus VI
 ● ,N_Aristides, ● ,is teacher of, ● ,N_Paeonius
 ● ,N_Aristides, ● ,is family of, ● ,N_Sophroniscus II
 ● ,N_Aristippus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Aristippus, ● ,is teacher of, ● ,N_Aethiops
 ● ,N_Aristippus, ● ,is friend of, ● ,N_Aeschines
 ● ,N_Aristippus, ● ,is from, ● ,G_Cyrene
 ● ,N_Aristippus, ● ,traveled to, ● ,G_Athenae
 ● ,N_Aristippus, ● ,refers to, ● ,N_Xenophon
 ● ,N_Aristippus, ● ,refers to, ● ,N_Alcibiades
 ● ,N_Aristippus, ● ,traveled to, ● ,G_Corinth
 ● ,N_Aristippus, ● ,is family of, ● ,NF_Arete
 ● ,N_Aristippus, ● ,is associated with, ● ,N_Polyxenus
 ● ,N_Aristippus, ● ,is friend of, ● ,N_Dionysius II
 ● ,N_Aristippus, ● ,refers to, ● ,N_Paris
 ● ,N_Aristippus, ● ,refers to, ● ,N_Pausanians
 ● ,N_Aristippus, ● ,is associated with, ● ,N_Artaphernes
 ● ,N_Aristippus, ● ,is associated with, ● ,N_Eutychides
 ● ,N_Aristippus, ● ,is teacher of, ● ,N_The Cyrenaics
 ● ,N_Aristippus, ● ,traveled to, ● ,G_Megara (Attica)
 ● ,N_Aristippus, ● ,refers to, ● ,N_Clinias
 ● ,N_Aristippus, ● ,refers to, ● ,N_Pausanias
 ● ,N_Aristippus, ● ,is adversary of, ● ,N_Simus
 ● ,N_Aristippus, ● ,refers to, ● ,N_Persian King
 ● ,N_Aristippus, ● ,refers to, ● ,N_Socrates
 ● ,N_Aristippus, ● ,traveled to, ● ,G_Asia
 ● ,N_Aristippus, ● ,is family of, ● ,N_Son of Aristippus II
 ● ,N_Aristippus II, ● ,refers to, ● ,NF_Crateia
 ● ,N_Aristippus II, ● ,refers to, ● ,N_Theophrastus
 ● ,N_Aristippus II, ● ,refers to, ● ,N_Periander
 ● ,N_Aristippus II, ● ,refers to, ● ,N_Xenocrates
 ● ,N_Aristippus II, ● ,refers to, ● ,N_Polemo
 ● ,N_Aristippus IV, ● ,is teacher of, ● ,N_Theodorus
 ● ,N_Aristippus IV, ● ,is family of, ● ,N_Aristippus
 ● ,N_Aristippus IV, ● ,is family of, ● ,NF_Arete
 ● ,N_Aristippus VI, ● ,refers to, ● ,N_Hermias
 ● ,N_Aristippus VI, ● ,refers to, ● ,N_Aristotle
 ● ,N_Aristippus VI, ● ,refers to, ● ,NF_Concubine of Hermias
 ● ,N_Aristocles III, ● ,is associated with, ● ,N_Zeno II
 ● ,N_Aristocrates, ● ,is family of, ● ,NF_Eristheneia
 ● ,N_Aristodemus, ● ,is family of, ● ,NF_Eristheneia
 ● ,N_Aristodemus, ● ,is from, ● ,G_Sparta
 ● ,N_Aristodemus, ● ,is associated with, ● ,N_Chilon
 ● ,N_Aristogoras, ● ,is from, ● ,G_Miletus
 ● ,N_Aristomenes, ● ,is associated with, ● ,N_Aristotle
 ● ,N_Ariston, ● ,is associated with, ● ,N_Socrates
 ● ,N_Ariston, ● ,refers to, ● ,N_Strato
 ● ,N_Ariston, ● ,is from, ● ,G_Ceos
 ● ,N_Ariston, ● ,refers to, ● ,N_Heraclitus
 ● ,N_Ariston IV, ● ,is family of, ● ,N_Miltiades II
 ● ,N_Ariston IV, ● ,is adversary of, ● ,N_Arcesilaus
 ● ,N_Ariston IV, ● ,refers to, ● ,N_Diodorus
 ● ,N_Ariston IV, ● ,is teacher of, ● ,N_Miltiades III
 ● ,N_Ariston IV, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Ariston IV, ● ,is from, ● ,G_Chios (island)
 ● ,N_Ariston IV, ● ,refers to, ● ,N_Odysseus
 ● ,N_Ariston IV, ● ,is teacher of, ● ,N_Diphilus III
 ● ,N_Aristophanes, ● ,refers to, ● ,N_Euripides
 ● ,N_Aristophanes, ● ,refers to, ● ,G_Athenae
 ● ,N_Aristophanes, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Aristophanes, ● ,refers to, ● ,G_Hellas
 ● ,N_Aristophanes, ● ,is adversary of, ● ,N_Socrates
 ● ,N_Aristotle, ● ,is teacher of, ● ,N_Alexander
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Macedonia
 ● ,N_Aristotle, ● ,refers to, ● ,N_Protagoras
 ● ,N_Aristotle, ● ,refers to, ● ,N_Proxenus
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Chalcis
 ● ,N_Aristotle, ● ,is associated with, ● ,N_Dioteles
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Borboros
 ● ,N_Aristotle, ● ,is teacher of, ● ,N_Heraclides
 ● ,N_Aristotle, ● ,refers to, ● ,N_Gryllus
 ● ,N_Aristotle, ● ,studied the work of, ● ,N_Speusippus
 ● ,N_Aristotle, ● ,refers to, ● ,N_Gryllion
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Academy of Plato (Athens)
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Mitylene
 ● ,N_Aristotle, ● ,refers to, ● ,N_A Magician
 ● ,N_Aristotle, ● ,refers to, ● ,N_Arimnestus
 ● ,N_Aristotle, ● ,is family of, ● ,N_Hermias
 ● ,N_Aristotle, ● ,is from, ● ,G_Stagira
 ● ,N_Aristotle, ● ,refers to, ● ,N_Euathlus
 ● ,N_Aristotle, ● ,traveled to, ● ,G_ Lyceum (Athens)
 ● ,N_Aristotle, ● ,is family of, ● ,NF_Concubine of Hermias
