Source,Target,Relation
Athenae,Homer,is associated with
Eudoxus,Chonuphis,is associated with
Dionysius II,Simus,is associated with
Diodorus,Ptolemy,is associated with
Theaetetus,Socrates,is associated with
Anaxarchus,Zeus,is associated with
Panaetius,Socrates,is associated with
Boeotia,Menedemus,is associated with
Alcmaeon II,Brontinus,is associated with
Lucanians,Pythagoras,is associated with
Pythagoras,Homer,is associated with
The Cyrenaics,Theodorus,is associated with
Aeschines,Plato,is associated with
Hippocrates,Democritus,is associated with
Philonides,Antigonus III,is associated with
Anaxagoras,Aegospotami,is associated with
Xenocrates,Antipater II,is associated with
Crantor,Theophrastus,is associated with
Peucetians,Pythagoras,is associated with
Calimachus,Heraclitus III,is associated with
Xenophon,Plato,is associated with
Menedemus,Hierocles,is associated with
Arcesilaus,Archias,is associated with
Pythagoras,Hesiod,is associated with
Ptolemy II,Zeno II,is associated with
Aristophanes,Pythagoras,is associated with
Archipolis,Menedemus,is associated with
Theophrastus,Plato,is associated with
Messapians,Pythagoras,is associated with
Xenocrates,Bion,is associated with
Alcippus,Theophrastus,is associated with
Phocus,Thales,is associated with
Pythagoras,Hermotimus,is associated with
Telecles,Lacydes,is associated with
Antigonus,Persaeus,is associated with
Hermolaus,Callisthenes,is associated with
Pythagoras,Chaldaeans,is associated with
Archilochus,Sceptics,is associated with
Aristotle,Timarchus,is associated with
Hegesistratus,Xerxes,is associated with
Xenophon,Seuthes,is associated with
Philolaus,Pythagoras,is associated with
Eurylochus II,Cleippides,is associated with
Archipolis,Asclepiades,is associated with
Menedemus,Ptolemy,is associated with
Aristippus,Eutychides,is associated with
Agrigentines,Pythagoras,is associated with
Alcmaeon II,Bathyllus,is associated with
Chilon,Hippocrates II,is associated with
Orestades,Pythagoras,is associated with
Casander,Speusippus,is associated with
Arcesilaus,Polemo,is associated with
Sphaerus,Ptolemy III,is associated with
Antigonus,Eretria,is associated with
Anaxarchus,Persephone,is associated with
The Eretrians,Eretria,is associated with
Simon III,Seleucus,is associated with
Arcesilaus,Demochares,is associated with
Phaedo,Aristippus,is associated with
Athenae,The Thirty,is associated with
Selinus (river in Elis),Ephesus,is associated with
Glauconides,Socrates,is associated with
Aristotle,Dioteles,is associated with
Epimenides,Pythagoras,is associated with
Empedocles,Rome,is associated with
The Cyrenaics,Cyrene,is associated with
Plato,Philolaus,is associated with
Democritus,Archelaus,is associated with
Arcesilaus,Eugamus,is associated with
Simon,Aristotle,is associated with
Zeno,Empedocles,is associated with
Antigonus,Eurylochus II,is associated with
Nileos,Thales,is associated with
Marmacus,Samos,is associated with
Euripides,Ariston,is associated with
Socrates,Glaucon,is associated with
Aristoxenus,Echecrates,is associated with
Zamolxis,Cronos,is associated with
Carneades,Antipater IV,is associated with
Archytas,Ocellus,is associated with
Thrasybulus,Thales,is associated with
Plato,Dion,is associated with
Ptolemy,Theophrastus,is associated with
Ariston,Socrates,is associated with
Pythagoras,Hades,is associated with
Pyrrhus,Pythagoras,is associated with
Phocaea,Elea,is associated with
Eurylochus II,Menedemus,is associated with
Eudoxus,Hellas,is associated with
Meletus,Anytus,is associated with
Hyele,Elea,is associated with
Philo III,Aristotle,is associated with
Stoic,Socrates,is associated with
Epaminondas,Hegesilaus,is associated with
Protagoras,Socrates,is associated with
Melissus,Heraclitus,is associated with
Ptolemy,Alexandria at Egypt,is associated with
Menedemus,Lysimachus,is associated with
Xenophon,Dardanus,is associated with
Hermotimus,Pyrrhus,is associated with
Theodorus,Metrocles,is associated with
Orestades,Xenophanes,is associated with
Evander,Lacydes,is associated with
Carneades,Hegesinus,is associated with
Chrysippus,Eudoxus,is associated with
Demetrius,Xenocrates,is associated with
Pythagoras VIII,Dorian,is associated with
Epaminondas,Cephisodorus,is associated with
Mnesistratus II,Sphaerus,is associated with
Archelaus,Oenopides,is associated with
Pasiphon,The Eretrians,is associated with
Pasiphon,Eretria,is associated with
Democritus,Pythagoras,is associated with
Aeschines III,Aeschines V,is associated with
Xenocrates,Phryne,is associated with
Lysis II,Milo,is associated with
Chremonides,Cleanthes,is associated with
Aristotle,Hipparchus,is associated with
Protagoras,Teos (Ionia),is associated with
Melissus,Ephesians,is associated with
Anaxagoras,Persia,is associated with
Aristoxenus,Phanton,is associated with
The Cyrenaics,Anniceris,is associated with
Archias,Eumenes,is associated with
Thraso II,Antigonus III,is associated with
Pyrrho,Athenae,is associated with
Bathycles,Thales,is associated with
Protagoras,Meandrius,is associated with
Democritus,Leucippus,is associated with
Pyrrho,Democritus,is associated with
Anaxarchus,Alexander,is associated with
Euripides,Sceptics,is associated with
Antigonus,Megara (Attica),is associated with
Heraclitus IV,Macedonia,is associated with
Socrates,Lysis,is associated with
Arcesilaus,Aridices,is associated with
Empedocles,Agrigentines,is associated with
Telecles,Evander,is associated with
Xenocrates,Dionysius II,is associated with
Polemo,Xenocrates,is associated with
Pyrrho,Hellas,is associated with
Xenophanes,Anaximander,is associated with
Xenophon,Apollonides II,is associated with
Xenocrates,Philip,is associated with
Lacydes,Attalus,is associated with
Parmeniscus,Xenophanes,is associated with
Diodotus,Heraclitus,is associated with
Democritus IV,Ephesus,is associated with
Melantho,Penelope,is associated with
Hippobotus,Empedocles,is associated with
Plato,Aristippus,is associated with
Aristippus,Artaphernes,is associated with
Pythagoras VII,Homer,is associated with
Pythagoras,Eurymenes,is associated with
Athenae,Tyrtaeus,is associated with
Ambracis,Aristotle,is associated with
Empedocles,Pythagoreans,is associated with
Panaetius,Stoic,is associated with
Epaminondas,Gryllus II,is associated with
Aristoxenus,Polymnastus,is associated with
Phocaean,Elea,is associated with
Nicocreon,Cyprus,is associated with
Aristotle,Nicanor,is associated with
Persaeus,Antigonus III,is associated with
Leon II,Socrates,is associated with
Pythagoras,Euphorbus,is associated with
Pyrrhaeus,Herpyllis,is associated with
Euripides,Athenae,is associated with
Chilon,Aesop,is associated with
Empedocles,Selinus,is associated with
Heraclitus,Ephesians,is associated with
Xenocrates,Lais,is associated with
Arcesilaus,Menedemus,is associated with
The Cyrenaics,Hegesias,is associated with
Arcesilaus,Pythocles,is associated with
Stilpo,Areiopagos (Athens),is associated with
Lysippus,Socrates,is associated with
Hegesilaus,Gryllus II,is associated with
Euphorbus,Hermotimus,is associated with
Thale,Aristotle,is associated with
Meletus,Polyeuctus,is associated with
Lysis II,Pythagoras,is associated with
Aristodemus,Chilon,is associated with
Speusippus,Heraclides,is associated with
Demetrius,Oropus,is associated with
Betion,Menedemus II,is associated with
Pyrrhoneans,Pyrrho,is associated with
Lacydes,Arcesilaus,is associated with
Moschus,Menedemus,is associated with
Pythagoras,Apollo,is associated with
Zeno,Lipara,is associated with
Permenides,Pythagoras,is associated with
Heraclides II,Satyrus,is associated with
Pythagoras VIII,Elians,is associated with
Eudoxus,Mausolus,is associated with
Ptolemy,Lysimachus,is associated with
Iphicrates,Socrates,is associated with
Aristoxenus,Diocles,is associated with
Aristomenes,Aristotle,is associated with
Empedocles,Panthea,is associated with
Aston,Pythagoras,is associated with
Aristippus,Polyxenus,is associated with
Empedocles,Peisianax,is associated with
Lyco,Strato,is associated with
Protagoras,Euripides,is associated with
Phaedo,Crito,is associated with
Aeschines,Father of Phaeax,is associated with
Sparta,Xenophon,is benefactor of
Antigonus III,Zeno II,is benefactor of
Theodorus,Magas,is benefactor of
Xerxes,Democritus,is benefactor of
Antigonus III,Cleanthes,is benefactor of
Eumenes,Arcesilaus,is benefactor of
Athenae,Astydamas,is benefactor of
Alexander II,Xenocrates,is benefactor of
Aristodemus,Eristheneia,is family of
Darius,Hystaspes,is family of
Aeschines,Lysanias,is family of
Simmias,Daughter of Stilpo,is family of
Lamprocles,Aristides,is family of
Socrates,Aristides,is family of
Lamprocles,Socrates,is family of
Phaestius,Epimenides,is family of
Herpyllis,Nicanor,is family of
Arcesilaus,Seuthes II,is family of
Polemo,Philostratus,is family of
Mnaseas,Zeno II,is family of
Tyrrhenus,Pythagoras,is family of
Stilpo,Daughter of Stilpo,is family of
Lyco II,Lyco,is family of
Stilpo,Nicarete,is family of
Aeschines,Charinus,is family of
Lycophron,Periander,is family of
Lysida,Periander,is family of
Menexenus,Sophroniscus II,is family of
Halcyoneus,Antigonus III,is family of
Herpyllis,Aristotle,is family of
Wife of Asclepiades,Wife of Menedemus,is family of
Agesarchus,Epimenides,is family of
Arcesilaus II,Strato,is family of
Aethalides,Hermes,is family of
Aristotle,Callisthenes,is family of
Polyzelus,Pythodorus,is family of
Damo,Theano,is family of
Pythagoras,Mnesarchus,is family of
Gorgiadas,Leophantus,is family of
Nicomachus III,Herpyllis,is family of
Empedocles,Exaenetus,is family of
Lycophron,Lysida,is family of
Eurydice,Ptolemy,is family of
Zoilus,Pythagoras,is family of
Heraclitus,Heracon,is family of
Gryllus II,Philesia,is family of
Alyattes,Croesus,is family of
Philtis,Eudoxus,is family of
Cleobulina,Thales,is family of
Chabrinus,Lasos,is family of
Wife of Asclepiades,Menedemus' Wife,is family of
Diodorus,Ameinias,is family of
Lysida,Eristheneia,is family of
Aristippus IV,Aristippus,is family of
Asclepius,Nicomachus,is family of
Crito,Hermogenes II,is family of
Xenophon,Philesia,is family of
Heraclides of Serapion,Serapion,is family of
Arcesilaus,Philetaerus,is family of
Asclepius,Aristotle,is family of
Speusippus,Potone,is family of
Demochares,Laches,is family of
Carneades,Epicomus,is family of
Archelaus,Midon,is family of
Amyntas,Philip,is family of
Pisistratus,Solon,is family of
Apollodorus X,Archelaus,is family of
Cypselus II,Periander,is family of
Marmacus,Hippasus,is family of
Lacydes,Alexander III,is family of
Carneades,Philocomus,is family of
Nicomachus,Aristotle,is family of
Damasus,Democritus,is family of
Mnaseas,Kition (Cyprus),is family of
Philista,Pyrrho,is family of
Epigenes,Ctesippus,is family of
Aristides,Sophroniscus II,is family of
Telauges,Pythagoras,is family of
Glaucon II,Plato,is family of
Asclepiades,Wife of Asclepiades,is family of
Archytas,Mnesagoras,is family of
Heraclides,Serapion,is family of
Menexenus,Xanthippe,is family of
Astyanax II,Lyco,is family of
Machaon,Aristotle,is family of
Pythagoras,Theano,is family of
Anaxagoras,Eubulus II,is family of
Epicurus,Aristobulus,is family of
Nicanor,Nicanor's mother,is family of
Xenophon III,Pythostratus,is family of
Euthyphro IV,Hippasus,is family of
Empedocles,Archinomus,is family of
Aristoxenus,Spintharus,is family of
Leptines,Glaucus II,is family of
Anaximenes III,Anaximenes II,is family of
Dosiadas,Epimenides,is family of
Creophylus,Hermodamas,is family of
Glaucon,Plato,is family of
Nicomachus II,Nicomachus,is family of
Lamprocles,Myrto,is family of
Anchitus,Asclepius,is family of
Ichthyas,Metallus,is family of
Myrmex,Aristotle,is family of
Myrto,Aristides,is family of
Empedocles,Meton,is family of
Democritus,Hegesistratus,is family of
Epicharmus,Helothales,is family of
Clisthenes,Menedemus,is family of
Cypselus,Periander,is family of
Demetrius,Telesphorus,is family of
Crates,Antigenes,is family of
Caduidas,Anacharsis,is family of
Arcesilaus,Pylades II,is family of
Critobulus,Ctesippus,is family of
Philesia,Gryllus III?,is family of
Sisymbrinus,Lasos,is family of
Potone,Plato,is family of
Phanostratus,Demetrius,is family of
Eumenes,Philetaerus,is family of
Stilpo,Bryson,is family of
Empedocles,Callicratides,is family of
Zeno,Teleutagoras,is family of
Execestides,Solon,is family of
Hegesias III,Hipparchus,is family of
Gryllus II,Diodorus V,is family of
Aristippus,Arete,is family of
Xenophanes,Orthomenes,is family of
Aristagoras,Eudoxus,is family of
Menexenus,Aristides,is family of
Actis,Eudoxus,is family of
Anacharsis,Gnurus,is family of
Pleistarchus,Pyrrho,is family of
Nicomachus III,Aristotle,is family of
Menexenus,Myrto,is family of
Crito,Ctesippus,is family of
Dionysius IV,Theophantus,is family of
Phaestis,Aristotle,is family of
Pausanias,Anchitus,is family of
Demetrius XXVI,Persaeus,is family of
Aristotle,Concubine of Hermias,is family of
Euagoras,Cleobulus,is family of
Pythagoras,Marmacus,is family of
Democritus,Damasippus,is family of
Nicomachus II,Aristotle,is family of
Pherecydes,Babys,is family of
Menedemus,Wife of Menedemus,is family of
Xenophon,Gryllus III?,is family of
Ptolemy,Lagus,is family of
Diphilus,Euphantus,is family of
Lamprocles,Sophroniscus II,is family of
Parmenides,Pyres,is family of
Codrus,Pisistratus,is family of
Anaximenes,Eurystratus,is family of
Anaxagoras,Hegesibulus,is family of
Cybisthus,Thales,is family of
Menexenus,Socrates,is family of
Alcmaeon II,Pirithous,is family of
Cleanthes,Phanias II,is family of
Phaenarete,Sophroniscus,is family of
Pythocles,Bugelus,is family of
Archelaus,Apollodorus,is family of
Lamprocles,Menexenus,is family of
Zamolxis,Pythagoras,is family of
Aristocrates,Eristheneia,is family of
Meletus II,Meletus,is family of
Xanthippe,Sophroniscus II,is family of
Chrysippus VI,Erineus,is family of
Epigenes,Hermogenes II,is family of
Xenophanes,Dexius,is family of
Arcesilaus,Thaumasias,is family of
Procles,Lysida,is family of
Acusilaus,Cabas,is family of
Melissus,Ithaegenes,is family of
Acron,Acros,is family of
Antipater,Aristotle,is family of
Aeschines,Socrates,is family of
Myrto,Sophroniscus II,is family of
Socrates,Sophroniscus,is family of
Thales,Examyas,is family of
Eunomus,Pythagoras,is family of
Ariston IV,Miltiades II,is family of
Scabras,Acusilaus,is family of
Myson,Strymon,is family of
Pompylus,Theophrastus,is family of
Protagoras,Artemon,is family of
Thyrion,Bathycles,is family of
Theano,Brontinus,is family of
Arcesilaus,Moereas,is family of
Pythias,Aristotle,is family of
Crateia,Periander,is family of
Hermogenes II,Ctesippus,is family of
Democritus,Philolaus,is family of
Lyco,Astyanax,is family of
Heraclitus,Bloson,is family of
Critobulus,Hermogenes II,is family of
Critobulus,Epigenes,is family of
Crito,Critobulus,is family of
Archagoras,Theodotus,is family of
Ameinias IV,Diochaetas,is family of
Tyrraeus,Pittacus,is family of
Telauges,Theano,is family of
Pausanias,Asclepius,is family of
Teutames,Bias,is family of
Ptolemy,Berenice,is family of
Socrates,Phaenarete,is family of
Xenophon,Gryllus II,is family of
Delphis,Eudoxus,is family of
Aristippus,Son of Aristippus II,is family of
Myrto,Socrates,is family of
Eudoxus III,Agathocles,is family of
Exaenetus,Myrmex,is family of
Philip,Alexander,is family of
Anaximander,Praxiades,is family of
Cleonymus,Euthyphro IV,is family of
Euthyphro II,Heraclides,is family of
Damagetas,Chilon,is family of
Lamprocles,Xanthippe,is family of
Aristagoras,Chrysippus VI,is family of
Gryllus II,Gryllus III?,is family of
Cypselus II,Lysida,is family of
Speusippus,Eurymedon,is family of
Lycophron,Cypselus II,is family of
Diodorus V,Philesia,is family of
Xenophon,Diodorus V,is family of
Apollothemis,Diogenes,is family of
Hyrrhadius,Pittacus,is family of
Crito,Epigenes,is family of
Aristippus IV,Arete,is family of
Chrysippus,Apollonius III,is family of
Hermias,Concubine of Hermias,is family of
Cleobuline II,Cleobulus,is family of
Aristotle,Hermias,is family of
Democritus,Athenocritus,is family of
Charmantides,Lasos,is family of
Melantes,Theophrastus,is family of
Damo,Pythagoras,is family of
Menedemus,Menedemus' Wife,is family of
Asclepiades,Menedemus,is friend of
Athenians,Zeno II,is friend of
Alcibiades,Socrates,is friend of
Pausanias,Empedocles,is friend of
Arcesilaus,Demetrius XXVIII,is friend of
Suitors of Penelope,Melantho,is friend of
Proxenus,Cyrus II,is friend of
Arcesilaus,Phila,is friend of
Stilpo,Antigonus,is friend of
Suitors of Penelope,Polydora,is friend of
Xenophon,Proxenus,is friend of
Xenophon,Cyrus II,is friend of
Cleochares,Arcesilaus,is friend of
Demochares,Cleochares,is friend of
Gorgias,Cyrus II,is friend of
Cleanthes,Ariston IV,is friend of
Lais,Aristippus,is friend of
Demetrius,Menander,is friend of
Thrasybulus,Periander,is friend of
Agetor,Asclepiades,is friend of
Stilpo,Ptolemy,is friend of
Diodorus,Zeno II,is friend of
Moschus,Anchipylus,is friend of
Lysicles,Polemo,is friend of
Anniceris,Plato,is friend of
Xenophon,Socrates,is friend of
Agetor,Menedemus,is friend of
Pythocles,Cleochares,is friend of
Aristippus,Aeschines,is friend of
Hipponicus,Menedemus,is friend of
Aristippus,Dionysius II,is friend of
Arcesilaus,Hierocles,is friend of
Eudoxus,Theomedon,is friend of
Ptolemy,Theodorus,is friend of
Amyntas,Aristotle,is friend of
Apollodorus IV,Socrates,is friend of
Hipponicus,Asclepiades,is friend of
Chremonides,Zeno II,is friend of
Arcesilaus,Diogenes XIII,is friend of
Arcesilaus,Theodete,is friend of
Thrasymachus,Ichthyas,is friend of
Socrates,Phaedo,is friend of
Demetrius,Theodorus,is friend of
Xenophon,Clinias,is friend of
Betion,Bion,is friend of
Pherecydes,Pythagoras,is friend of
Lysicles,Crates,is friend of
Lysias,Socrates,is friend of
Empedocles,Pausanians,is friend of
Phylopidas,Xenophon,is friend of
Philo II,Zeno II,is friend of
Hermodamas,Pythagoras,is friend of
Amphicritus,Arcesilaus,is friend of
Arcesilaus,Ctesibius II,is friend of
Xenophon,Megabyzus,is friend of
Heraclitus,Hermodorus,is friend of
Socrates,Euripides,is friend of
Bias,Solon,is friend of
Philo,Pyrrho,is friend of
Carcinus,Aeschines,is friend of
Demetrius III,Magnesia,is from
Phaedo,Elis,is from
Periander,Corinth,is from
Panthea,Agrigentum,is from
Chaldaeans,Babylon,is from
Hyrrhadius,Thrace,is from
Chilon,Lacedaemon/Laconia,is from
Ariston,Ceos,is from
Clinomachus,Thurii,is from
Telecles,Phocaea,is from
Aristoxenus,Tyrrhenian Sea,is from
Anaximander,Miletus,is from
Demeter,Eleusis in Attica,is from
Arcesilaus,Aeolis,is from
Eudoxus III,Sicily,is from
Cleonymus,Phlius,is from
Timon,Phlius,is from
Ctesiclides,Athenae,is from
Selinuntines,Selinus,is from
Cephisodorus,Athenae,is from
Timotheus,Athenae,is from
Chrysippus,Soli,is from
Chrysippus II,Cnidus,is from
Cleanthes,Assos,is from
Democritus,Miletus,is from
Clitomachus,Carthago,is from
Pylades II,Pitane,is from
Crantor,Soli,is from
Antigonus III,Macedonia,is from
Anacharsis,Skythai,is from
Leucippus,Elea,is from
Anaximenes II,Lampsacus,is from
Dion,Syracuse,is from
Simmias,Syracuse,is from
Pyrrhus,Delos,is from
Cotys,Thrace,is from
Philip,Macedonia,is from
Hemon,Chios (island),is from
Gorgiadas,Lebedos/Ptolemais,is from
Gorgiadas,Ephesus,is from
Theomedon,Cnidos,is from
Agetor,Lamia,is from
Philip IV,Megara (Attica),is from
Sosicrates,Rhodos (island),is from
Autolycus,Pitane,is from
Acusilaus,Argos,is from
Archias,Arkadia region,is from
Peucetians,Apulia,is from
Plistanus,Elis,is from
Zeno IX,Sidon,is from
Pyrrho,Elis,is from
Anaxagoras,Clazomenae,is from
Demetrius XXV,Troezen,is from
Diogenes,Apollonia Pontica,is from
Dionysius IV,Heraclea,is from
Mentor,Bithynia,is from
Prodicus,Ceos,is from
Zeno II,Cyprus,is from
Panaetius,Rhodos (island),is from
Ariston IV,Chios (island),is from
Elians,Elis,is from
Eurytus,Taras/Tarentum/Neptunia,is from
Carcinus,Athenae,is from
Philesia,Athenae,is from
Philistion,Sicily,is from
Alexo,Myndus,is from
Xenophon VII,Paros,is from
Pisianax,Syracuse,is from
Lyco,Troas,is from
Demetrius XXVIII,Macedonia,is from
Socrates,Athenae,is from
Arcesilaus II,Lampsacus,is from
Demetrius,Magnesia,is from
Astyanax,Troas,is from
Myroianus,Amastris,is from
Wife of Menedemus,Oropus,is from
Myson,Creta,is from
Eurylochus,Larissa (Thessaly),is from
Polemo,Athenae,is from
Nectanabis,Ancient Egypt (region),is from
Seuthes,Odrysians tribe,is from
Melanthius,Rhodos (island),is from
Calliades,Athenae,is from
Theophrastus,Eresus,is from
Xanthus II,Athenae,is from
Dionysius II,Syracuse,is from
Heraclitus,Ephesus,is from
Eubulides,Miletus,is from
Antilochus,Lemnos,is from
Medes,Media,is from
Simon,Athenae,is from
Crates,Athenae,is from
Chonuphis,Heliopolis,is from
Chrysippus VI,Cnidos,is from
Callisthenes,Olynthus,is from
Thales,Phoenicia,is from
Anaximenes III,Lampsacus,is from
Leucippus,Miletus,is from
Hieronymus,Rhodos (island),is from
Ephesians,Ephesus,is from
Pisistratus,Ephesus,is from
Heraclides II,Alexandria at Egypt,is from
Diogenes VII,Smyrna,is from
Pythagoras II,Crotone,is from
Alcmaeon II,Crotone,is from
Leon,Phlius,is from
Empedocles,Sicily,is from
Nausiphanes,Teos (Ionia),is from
Amyntas,Macedonia,is from
Epicharmus,Kos,is from
Agrigentines,Agrigentum,is from
Phylopidas,Sparta,is from
Thrasymachus,Corinth,is from
Aristoxenus,Thurii,is from
Xenophilus,Chalcidice,is from
Diphilus,Bosphorus,is from
Hermippus,Samos,is from
Antipater III,Tyre,is from
Aethiops,Ptolemais/Barkes Limen,is from
Heraclides,Pontus,is from
Diodorus III,Ephesus,is from
Solon,Salamis,is from
Arcesilaus,Pitane,is from
Nessas,Chios (island),is from
Eubulus III,Bithynia,is from
Speusippus,Athenae,is from
Euanthes,Miletus,is from
Heraclides,Heraclea,is from
Asclepiades,Phlius,is from
Lysis II,Taras/Tarentum/Neptunia,is from
Cleochares,Myrlea,is from
Scopas,Cranon,is from
Aristippus,Cyrene,is from
Aristogoras,Miletus,is from
Proxenus,Boeotia,is from
Damon,Cyrene,is from
Procles,Epidaurus,is from
Neanthes,Cyzicus,is from
Sicilian,Sicily,is from
Archelaus,Athenae,is from
Myson,Chenai,is from
Democritus,Abdera,is from
Brontinus,Crotone,is from
Persaeus,Kition (Cyprus),is from
Thraso II,Athenae,is from
Ariarathes,Cappadocia,is from
Meletus,Pitthos,is from
A Magician,Syria,is from
Cleobulus,Lindus,is from
Gymnosophists,India,is from
Xenocrates,Chalcedon,is from
Anaximenes,Miletus,is from
Glaucus,Rhegium,is from
Lasthenia,Mantinea,is from
Samians,Samos,is from
Hippasus,Metapontum,is from
Diodorus V,Athenae,is from
Theocritus,Chios (island),is from
Carneades,Cyrene,is from
Lacydes,Cyrene,is from
Protagoras,Abdera,is from
Tyrrhenians,Tyrrhenian Sea,is from
Aeschines,Athenae,is from
Hipponicus,Macedonia,is from
Socrates III,Bithynia,is from
Theodorus,Cyrene,is from
Democritus VI,Pergamum,is from
Eurylochus II,Kassandreia,is from
Alexinus,Elis,is from
Phanias,Eresus,is from
Gorgias,Leontini,is from
Chrysippus,Tarsus,is from
Democritus II,Chios (island),is from
Socrates V,Kos,is from
Alcippus,Eresus,is from
Melissus,Samos,is from
Epaminondas,Thebes,is from
Eudoxus,Cnidos,is from
