Source,Target,Relation
Neanthes,Empedocles,refers to
Neanthes,Pythagoreans,refers to
Neanthes,Heraclitus,refers to
Neanthes,Periander,refers to
Neanthes,Plato,refers to
Neanthes,Antisthenes,refers to
Nectanabis,Ancient Egypt (region),is from
Neocles,Chaerestrate,is family of
Neocles II,Epicurus,is family of
Neophron,Sicyon,is from
Nessas,Metrodorus,is teacher of
Nessas,Chios (island),is from
Nessas,Metrodorus III,is teacher of
Nicanor,Nicanor's mother,is family of
Nicanor,Nicomachus II,is associated with
Nicocreon,Cyprus,is associated with
Nicolaus,Epicurus,is adversary of
Nicolochus,Rhodos (island),is from
Nicomachus,Aristotle,is family of
Nicomachus II,Nicomachus,is family of
Nicomachus II,Aristotle,is family of
Nicomachus III,Aristotle,is family of
Nicomachus III,Herpyllis,is family of
Nicomedes,Heraclitus,refers to
Nileos,Phoenicia,is from
Nileos,Miletus,traveled to
Nileos,Thales,is associated with
Numenius,Pyrrho,refers to
Olympiodorus,Diogenes II,refers to
Olympius,Aristotle,is associated with
Onesicritus,Alexander,refers to
Onesicritus,Philiscus,is family of
Onesicritus,Aegina,is from
Onesicritus,Astypalaea,is from
Onetor,Stilpo,refers to
Onetor,Nicarete,refers to
Onetor,Plato,refers to
Orestades,Pythagoras,is associated with
Orestades,Xenophanes,is associated with
Orestades,Pythagoreans,is associated with
Pamphilus,Epicurus,is teacher of
Panaetius,Plato,refers to
Panaetius,Socrates,is associated with
Panaetius,Xenophanes,refers to
Panaetius,Phaedo,refers to
Panaetius,Stoic,is associated with
Panaetius,The Cyrenaics,refers to
Panaetius,Rhodos (island),is from
Panaetius,Antishenes,refers to
Panaetius,Euclides,refers to
Panaetius,Epicurus,refers to
Panaetius,Aristippus,refers to
Panaetius,Xenophon,refers to
Panaetius,Aeschines,refers to
Panaetius,Plato III,is teacher of
Panthea,Agrigentum,is from
Panthoides,Lyco,is teacher of
Paraebates,Hegesias,is teacher of
Paraebates,Anniceris,is teacher of
Parmenides,Myson,refers to
Parmenides,Melissus,is teacher of
Parmenides,Pyres,is family of
Parmenides,Empedocles,is teacher of
Parmenides,Ameinias IV,is associated with
Parmenides,Elea,is from
Parmenides,Anaximenes,is teacher of
Parmenides,Zeno,is teacher of
Parmeniscus,Pythagoreans,is associated with
Parmeniscus,Xenophanes,is associated with
Parmeniscus,Pythagoras,is associated with
Pasicles,Crates II,is family of
Pasicles,Hipparchia,is family of
Pasicles II,Crates II,is family of
Pasiphon,Eretria,is associated with
Pasiphon,The Eretrians,is associated with
Pausanias,Heraclitus,refers to
Pausanias,Anchitus,is family of
Pausanias,Empedocles,is friend of
Pausanias,Gela,is from
Pausanias,Asclepius,is family of
Perdiccas III,Diogenes II,is adversary of
Periander,Wise Men,sent letters to
Periander,Procles,sent letters to
Periander,Corinth,is from
Periander II,Ambracia,is from
Permenides,Pythagoras,is associated with
Persaeus,Ariston IV,is adversary of
Persaeus,Antigonus III,is associated with
Persaeus,Kition (Cyprus),is from
Peucetians,Apulia,is from
Peucetians,Pythagoras,is associated with
Phaedo,Aristippus,is associated with
Phaedo,Anchipylus,is teacher of
Phaedo,Menedemus,is teacher of
Phaedo,Moschus,is teacher of
Phaedo,Alcibiades,is associated with
Phaedo,Elis,is from
Phaedo,Crito,is associated with
Phaedo,Plistanus,is teacher of
Phaedrus,Plato,is friend of
Phaestius,Epimenides,is family of
Phanias,Eresus,is from
Phanias,Socrates,refers to
Phanias,Aristippus,refers to
Phanias,Antisthenes,refers to
Phanias III,Panaetius,refers to
Phanodicus,Bias,refers to
Phanostratus,Demetrius,is family of
Phanton,Phlius,is from
Pherecydes,Messene,traveled to
Pherecydes,Samos,traveled to
Pherecydes,Delphi,traveled to
Pherecydes,Babys,is family of
Pherecydes,Olympian Zeus sanctuary (Eleia),traveled to
Pherecydes,Syros,is from
Pherecydes,Pythagoras,is friend of
Pherecydes,Delos,traveled to
Phidiades,Thales VII,is family of
Phidiades,Plato,is friend of
Philemon,Zeno II,refers to
Philemon,Crates II,refers to
Philip,Macedonia,is from
Philip,Alexander,is family of
Philip,Aristotle,is associated with
Philip,Macedon,is from
Philip IV,Megara (Attica),is from
Philippus V,Opus,is from
Philiscus,Diogenes II,is friend of
Philiscus,Aegina,is from
Philiscus,Androsthenes,is family of
Philistion,Sicily,is from
Philistion,Eudoxus,is teacher of
Philo,Pyrrho,is friend of
Philo,Plato,refers to
Philo II,Zeno II,is friend of
Philo III,Aristotle,is associated with
Philochorus,Protagoras,refers to
Philochorus,Socrates,refers to
Philochorus,Euripides,refers to
Philodemus,Polyaenus,refers to
Philodemus,Epicurus,refers to
Philolaus,Crotone,is from
Philolaus,Echecrates,is teacher of
Philolaus,Xenophilus,is teacher of
Philolaus,Pythagoras,is associated with
Philolaus,Phanton,is teacher of
Philolaus,Polymnastus,is teacher of
Philolaus,Diocles,is teacher of
Philolaus,Italy,traveled to
Philolaus,Sicily,traveled to
Philonides,Thebes,is from
Philonides,Antigonus III,is associated with
Philtis,Eudoxus,is family of
Phlegon,Epimenides,refers to
Phocion,Diogenes II,is associated with
Phocus,Thales,is associated with
Phocus,Samos,is from
Photidas,Plato,is associated with
Phrynon,Pittacus,is adversary of
Phylarchus,Praulus,refers to
Phylopidas,Xenophon,is friend of
Phylopidas,Skillous,refers to
Phylopidas,Sparta,is from
Pisianax,Syracuse,is from
Pisistratus,Solon,is family of
Pisistratus,Ephesus,is from
Pisistratus,Aeschines,refers to
Pittacus,Mitylene,is from
Pittacus,Croesus,sent letters to
Pittacus,Pherecydes,is teacher of
Plato,Sicily,traveled to
Plato,Anytus,refers to
Plato,Philolaus,is associated with
Plato,Prodicus,refers to
Plato,Parmenides,refers to
Plato,Aristotle,is teacher of
Plato,Dionysius II,sent letters to
Plato,Menedemus,is teacher of
Plato,Dion,is friend of
Plato,Thales,refers to
Plato,Periander,refers to
Plato,Protagoras,refers to
Plato,Theophrastus,is teacher of
Plato,Xenocrates,is teacher of
Plato,Axiothea,is teacher of
Plato,Democritus,is adversary of
Plato,Pittacus,studied the work of
Plato,Agathon,refers to
Plato,Eudoxus,is teacher of
Plato,Anaxagoras,refers to
Plato,Theaetetus,refers to
Plato,Speusippus,is teacher of
Plato,Myson,refers to
Plato,Aristippus,is adversary of
Plato,Zeno,refers to
Plato,Academy of Plato (Athens),traveled to
Plato,Pythagoras,is associated with
Plato,Athenae,is from
Plato,Colonus,traveled to
Plato,Timolaus,is teacher of
Plato,Hippothales,is teacher of
Plato,Hippias,refers to
Plato,Olympia,traveled to
Plato,Corinth,traveled to
Plato,Tanagra,traveled to
Plato,Euthydemus II,refers to
Plato,Isocrates,is friend of
Plato,Timaeus,refers to
Plato,Demosthenes,is teacher of
Plato,Cyrene,traveled to
Plato,Perdiccas,sent letters to
Plato,Euripides,is associated with
Plato,Megara (Attica),traveled to
Plato,Coriscus,is teacher of
Plato,Leodamas,is teacher of
Plato,Euclides,is friend of
Plato,Thrasymachus II,refers to
Plato,Aetna M.,traveled to
Plato,Lysias,studied the work of
Plato,Polus,refers to
Plato,Sophron,studied the work of
Plato,Aegina,is from
Plato,Callippus,is teacher of
Plato,Philippus V,is teacher of
Plato,Demetrius VI,is teacher of
Plato,Ancient Egypt (region),traveled to
Plato,Hyperides,is teacher of
Plato,Euaeon,is teacher of
Plato,Delium,traveled to
Plato,Erastus,is teacher of
Plato,Amyclus,is teacher of
Plato,Perictione,is family of
Plato,Aristodemus III,sent letters to
Plato,Gorgias,refers to
Plato,Callicles,refers to
Plato,Hestiaeus,is teacher of
Plato,Heraclides III,is teacher of
Plato,Lycurgus II,is teacher of
Plato,Ariston V,is family of
Plato,Python,is teacher of
Plato,Italy,traveled to
Plato,Hermias,sent letters to
Plato,Epicurus,is adversary of
Plato,Diogenes II,is adversary of
Plato,Antisthenes,is adversary of
Plato III,Rhodos (island),is from
Pleistarchus,Pyrrho,is family of
Plistanus,Elis,is from
Plistanus,Asclepiades,is teacher of
Plistanus,Menedemus,is teacher of
Plutarch,Speusippus,refers to
Plutarch,Alexander,refers to
Polemo,Crates,is teacher of
Polemo,Xenocrates,is associated with
Polemo,Philostratus,is family of
Polemo,Crantor,is teacher of
Polemo,Sophocles,studied the work of
Polemo,Nicostratus,is associated with
Polemo,Hesiod,refers to
Polemo,Ariston IV,is associated with
Polemo,Athenae,is from
Polemo,Zeno II,is teacher of
Polemo,Homer,studied the work of
Polemo,Plato,refers to
Polemo,Lycurgus II,refers to
Pollis,Dionysius,is associated with
Pollis,Aegina,traveled to
Pollis,Plato,is adversary of
Pollis,Lacedaemon/Laconia,is from
Polyaenus,Lampsacus,is from
Polycrates,Samos,is from
Polycritus,Dion,refers to
Polycritus,Carcinus,refers to
Polycritus,Dionysius II,refers to
Polycritus,Syracuse,refers to
Polycritus,Mende,is from
Polydora,Penelope,is associated with
Polyeuctus II,Diogenes II,refers to
Polymnastus,Phlius,is from
Polyzelus,Pythodorus,is family of
Pompylus,Theophrastus,is family of
Poseidippus,Zeno II,refers to
Posidonius,Phanias III,is teacher of
Posidonius,Pyrrho,refers to
Posidonius,Epicurus,is adversary of
Posidonius II,Alexandria at Egypt,is from
Praulus,Troas,is from
Praxiphanes,Plato IV,is teacher of
Praxiphanes,Plato,refers to
Praxiphanes,Isocrates,refers to
Praxiphanes,Epicurus,is teacher of
Procles,Lysida,is family of
Procles,Epidaurus,is from
Prodicus,Ceos,is from
Protagoras,Socrates,is associated with
Protagoras,Sicily,traveled to
Protagoras,Athenae,traveled to
Protagoras,Archagoras,is teacher of
Protagoras,Artemon,is family of
Protagoras,Teos (Ionia),is associated with
Protagoras,Meandrius,is associated with
Protagoras,Abdera,is from
Protagoras,Euripides,is associated with
Proxenus,Boeotia,is from
Proxenus,Sardis,traveled to
Proxenus,Cyrus II,is friend of
Ptolemy,Theodorus,is friend of
Ptolemy,Alexandria at Egypt,is associated with
Ptolemy,Berenice,is family of
Ptolemy,Lysimachus,is associated with
Ptolemy,Lagus,is family of
Ptolemy,Theophrastus,is associated with
Ptolemy II,Chrysippus,sent letters to
Ptolemy II,Zeno II,is associated with
Ptolemy IV,Heraclides V,is teacher of
Ptolemy IV,Sarpedon,is teacher of
Ptolemy IV,Cyrene,is from
Ptolemy IV,Timon,is associated with
Ptolemy V,Alexandria at Egypt,is from
Ptolemy VI,Alexandria at Egypt,is from
Pylades II,Athenae,traveled to
Pylades II,Chios (island),traveled to
Pylades II,Pitane,is from
Pyrrhaeus,Herpyllis,is associated with
Pyrrhaeus,Aristotle,is associated with
Pyrrho,Athenae,is associated with
Pyrrho,Eurylochus III,is teacher of
Pyrrho,Homer,is associated with
Pyrrho,Anaxarchus,is teacher of
Pyrrho,Magi,is teacher of
Pyrrho,Cotys,is adversary of
Pyrrho,Hellas,is associated with
Pyrrho,Alpheios river,traveled to
Pyrrho,Sophists,is adversary of
Pyrrho,Democritus,is associated with
Pyrrho,Elis,is from
Pyrrho,Hecataeus,is teacher of
Pyrrho,India,traveled to
Pyrrhoneans,Pyrrho,is associated with
Pyrrhus,Pythagoras,is associated with
Pyrrhus,Delos,is from
Pythagoras,Creta,traveled to
Pythagoras,Ancient Egypt (region),traveled to
Pythagoras,Metapontum,traveled to
Pythagoras,Hermes,refers to
Pythagoras,Ida,traveled to
Pythagoras,Polycrates,is adversary of
Pythagoras,Glaucus,is teacher of
Pythagoras,Apollo,is associated with
Pythagoras,Mnesarchus,is family of
Pythagoras,Italy,traveled to
Pythagoras,Hades,is associated with
Pythagoras,Eurymenes,is associated with
Pythagoras,Archippus,is teacher of
Pythagoras,Marmacus,is family of
Pythagoras,Epicharmus,is teacher of
Pythagoras,Empedocles,is teacher of
Pythagoras,Euphorbus,is associated with
Pythagoras,Homer,is associated with
Pythagoras,Chaldaeans,is associated with
Pythagoras,Hesiod,is associated with
Pythagoras,Lesbos,traveled to
Pythagoras,Delos,traveled to
Pythagoras,Zaleucus,is teacher of
Pythagoras,Charondas,is teacher of
Pythagoras,Alcmaeon II,is teacher of
Pythagoras,Nestos (river),traveled to
Pythagoras,Magi,is associated with
Pythagoras,Hermotimus,is associated with
Pythagoras,Samos,is from
Pythagoras,Theano,is family of
Pythagoras,Aethalides,is associated with
Pythagoras,Hades (Place),traveled to
Pythagoras,Crotone,traveled to
Pythagoras,Croto,traveled to
Pythagoras,Milo,is friend of
Pythagoras II,Crotone,is from
Pythagoras II,Croto,is from
Pythagoras V,Samos,is from
Pythagoras VII,Homer,is associated with
Pythagoras VIII,Elians,is associated with
Pythagoras VIII,Dorian,is associated with
Pythagoreans,Pythagoras,is associated with
Pythian Priestess,Socrates,refers to
Pythian Priestess,Chaerephon,is associated with
Pythias,Aristotle,is family of
Pythocles,Cleochares,is friend of
Pythocles,Bugelus,is family of
Pythodorus,Protagoras,is adversary of
Python,Aenus,is from
Romans,Pythagoras,is associated with
Romans,Rome,is from
Sabinus,Plato,refers to
Sabinus,Demosthenes,refers to
Sabinus,Mnesistratus,refers to
Salarus,Priene,is from
Samians,Samos,is from
Satyrus,Pausanians,refers to
Satyrus,Anaxagoras,refers to
Satyrus,Pausanias,refers to
Satyrus,Lycurgus,refers to
Satyrus,Myrto,refers to
Satyrus,Socrates,refers to
Satyrus,Seven Sages,refers to
Satyrus,Thucydides,refers to
Satyrus,Empedocles,refers to
Satyrus,Xanthippe,refers to
Satyrus,Gorgias,studied the work of
Satyrus,Bias,refers to
Satyrus,Philiscus,refers to
Satyrus,Diogenes II,refers to
Scabras,Acusilaus,is family of
Scopas,Cranon,is from
Scythinus,Heraclitus,studied the work of
Scythinus,Persephone,refers to
Seleucus II,Heraclitus,refers to
Seleucus II,Panaetius,refers to
Seleucus II,Plato III,refers to
Seleucus II,Croton,refers to
Selinuntines,Empedocles,is associated with
Selinuntines,Selinus,is from
Seuthes,Odrysians tribe,is from
Sextus,Saturninus,is teacher of
Sicilian,Sicily,is from
Silenus,Anaxagoras,refers to
Simmias,Daughter of Stilpo,is family of
Simmias,Syracuse,is from
Simon,Pericles,sent letters to
Simon,Aristotle,is associated with
Simon,Athenae,is from
Simon III,Seleucus,is associated with
Simonides,Cleobulus,refers to
Simonides,Pittacus,refers to
Simus,Phrygia region,is from
Sisymbrinus,Lasos,is family of
Socrates,Phaedo,is friend of
Socrates,Ctesippus,is teacher of
Socrates,Pythagoras,studied the work of
Socrates,Midias,refers to
Socrates,Critias,is adversary of
Socrates,Prytaneum,refers to
Socrates,Phthia,traveled to
Socrates,Potidaea,traveled to
Socrates,Critobulus,is teacher of
Socrates,Hermogenes II,is teacher of
Socrates,Isthmus,traveled to
Socrates,Aristides,is family of
Socrates,Delium,traveled to
Socrates,Euthyphro,is associated with
Socrates,Sophroniscus,is family of
Socrates,Archelaus II,is adversary of
Socrates,Eurylochus,is adversary of
Socrates,Lysis,is associated with
Socrates,Simon,is teacher of
Socrates,Glaucon II,is associated with
Socrates,Euripides,is friend of
Socrates,Epigenes,is teacher of
Socrates,Samos,traveled to
Socrates,Callias,refers to
Socrates,Heraclitus,studied the work of
Socrates,Phaenarete,is family of
Socrates,Athenae,is from
Socrates,Glaucon,is associated with
Socrates,Scopas,is adversary of
Socrates,Plato,is teacher of
Socrates,Charmides,is teacher of
Socrates,Delphi,traveled to
Socrates,Crito,is teacher of
Socrates,Amphipolis,traveled to
Socrates,Aesop,studied the work of
Socrates,Antisthenes,is teacher of
Socrates III,Bithynia,is from
Socrates V,Kos,is from
Socratides,Arcesilaus,is associated with
Socratides,Crates,is associated with
Solon,Thespis,is adversary of
Solon,Cilicia,traveled to
Solon,Ancient Egypt (region),traveled to
Solon,Athenae,traveled to
Solon,Cyprus,traveled to
Solon,Periander,sent letters to
Solon,Epimenides,sent letters to
Solon,Salamis,is from
Solon,Creta,traveled to
Solon,Neleus,is family of
Solon,Dropides,is family of
Solon,Poseidon,is family of
Sophilus,Stilpo,refers to
Sosibius,Lacedaemon/Laconia,is from
Sosibius,Epimenides,refers to
Sosicrates,Pythagoras,refers to
Sosicrates,Croesus,refers to
Sosicrates,Rhodos (island),is from
Sosicrates,Thales,refers to
Sosicrates,Periander,refers to
Sosicrates,Chilon,refers to
Sosicrates,Pisistratus,refers to
Sosicrates,Leon,refers to
Sosicrates,Anacharsis,refers to
Sosicrates,Aristippus,refers to
Sosicrates,Solon,refers to
Sosicrates,Myson,refers to
Sosicrates,Strymon,refers to
Sosicrates,Pittacus,refers to
Sosicrates,Diogenes II,refers to
Sositheus,Cleanthes,is adversary of
Sotion,Periander,refers to
Sotion,Parmenides,refers to
Sotion,Xenophanes,refers to
Sotion,Heraclides,refers to
Sotion,Lacydes,refers to
Sotion,Heraclitus,refers to
Sotion,Chrysippus,refers to
Sotion,Aristippus,refers to
Sotion,Eudoxus,refers to
Sotion,Aristotle,refers to
Sotion,Arcesilaus,refers to
Sotion,Cleon,refers to
Sotion,Pericles,refers to
Sotion,Anaxagoras,refers to
Sotion,Lais,refers to
Sotion,Ariston,refers to
Sotion,Dioscurides II,refers to
Sotion,Nicolochus,refers to
Sotion,Euphranor,refers to
Sotion,Timon,refers to
Sotion,Epicurus,is adversary of
Sotion,Diogenes II,refers to
Sotion,Praulus,refers to
Sotion,Xanthus III,refers to
Speusippus,Parmenides,refers to
Speusippus,Heraclides,is associated with
Speusippus,Axiothea,is teacher of
Speusippus,Eurymedon,is family of
Speusippus,Potone,is family of
Speusippus,Macedonia,traveled to
Speusippus,Diogenes II,is associated with
Speusippus,Lastheneia,is teacher of
Speusippus,Athenae,is from
Speusippus,Ariston V,refers to
Speusippus,Perictione,refers to
Sphaerus,Ptolemy III,is associated with
Sphaerus,Bosporus,is from
Sphaerus,Heraclitus,refers to
Sphaerus,Alexandria at Egypt,traveled to
Stilpo,Alcimus,is teacher of
Stilpo,Menedemus,is teacher of
Stilpo,Diphilus,is teacher of
Stilpo,Areiopagos (Athens),is associated with
Stilpo,Phrasidemus,is teacher of
Stilpo,Bryson,is family of
Stilpo,Simmias,is teacher of
Stilpo,Daughter of Stilpo,is family of
Stilpo,Myrmex,is teacher of
Stilpo,Timagoras,is teacher of
Stilpo,Athenae,traveled to
Stilpo,Ptolemy,is friend of
Stilpo,Asclepiades,is teacher of
Stilpo,Zeno II,is teacher of
Stilpo,Clitarchus,is teacher of
Stilpo,Antigonus,is friend of
Stilpo,Megara (Attica),is from
Stilpo,Crates II,is teacher of
Stilpo,Paeonius,is teacher of
Stilpo,Nicarete,is family of
Stilpo,Metrodorus,is teacher of
Stilpo,Metrodorus II,is teacher of
Stilpo,Aegina,traveled to
Stilpo,Diogenes II,is associated with
Stoic,Socrates,is associated with
Strato,Lampsacus,is from
Strato,Ptolemy II,is teacher of
Strato,Aristippus,refers to
Strato,Arsinoe,sent letters to
Suitors of Penelope,Polydora,is friend of
Suitors of Penelope,Penelope,is adversary of
Suitors of Penelope,Melantho,is friend of
Syracusans,Pythagoras,is adversary of
Syracusans,Syracuse,is from
Telauges,Theano,is family of
Telauges,Philolaus,sent letters to
Telauges,Pythagoras,is family of
Telauges,Empedocles,is teacher of
Telecles,Evander,is associated with
Telecles,Lacydes,is associated with
Telecles,Phocaea,is from
Teucer,Carthago,is from
Teutames,Bias,is family of
Thale,Aristotle,is associated with
Thales,Nile,refers to
Thales,Creta,traveled to
Thales,Solon,sent letters to
Thales,Ionia region (Asia Minor),is associated with
Thales,Ancient Egypt (region),traveled to
Thales,Phoenicia,is from
Thales,Athenae,traveled to
Thales,Anaximander,is teacher of
Thales,Pherecydes,sent letters to
Thales,Examyas,is family of
Thales,Miletus,is from
Thaumasias,Pitane,is from
The Cyrenaics,Cyrene,is associated with
The Cyrenaics,Anniceris,is associated with
The Cyrenaics,Hegesias,is associated with
The Cyrenaics,Theodorus,is associated with
The Eretrians,Eretria,is associated with
The Thirty,Socrates,is adversary of
Theaetetus,Socrates,is associated with
Theaetetus II,Pythagoras,refers to
Theano,Brontinus,is family of
Theiodas,Laodicea,is from
Theocritus,Chios (island),is from
Theocritus,Aristotle,is adversary of
Theodorus,Euryclides,is adversary of
Theodorus,Metrocles,is associated with
Theodorus,Aristippus,refers to
Theodorus,Athenae,traveled to
Theodorus,Mithras,is associated with
Theodorus,Corinth,traveled to
Theodorus,Cyrene,is from
Theodorus,Bion,is teacher of
Theodorus,Stilpo,refers to
Theodorus,Dionysus the God,refers to
Theodorus,Semele,refers to
Theodorus,Plato,is teacher of
Theodorus VI,Epicurus,is adversary of
Theodorus XIII,Menodotus,refers to
Theodosius,Sceptics,refers to
Theodotas,Sicily,traveled to
Theodotas,Plato,is associated with
Theodotas,Dion,is associated with
Theodotas,Dionysius II,is adversary of
Theombrotus,Demetrius XXIV,is teacher of
Theomedon,Athenae,traveled to
Theomedon,Piraeus,traveled to
Theomedon,Cnidos,is from
Theophrastus,Timagoras,is teacher of
Theophrastus,Eresus,is from
Theophrastus,Erasistratus,is teacher of
Theophrastus,Menander,is teacher of
Theophrastus,Heraclitus,refers to
Theophrastus,Empedocles,refers to
Theophrastus,Parmenides,refers to
Theophrastus,Hipparchus,is associated with
Theophrastus,Metrodorus,is teacher of
Theophrastus,Phanias,sent letters to
Theophrastus,Timaeus,is teacher of
Theophrastus,Demetrius,is teacher of
Theophrastus,Bion,is teacher of
Theophrastus,Metrodorus II,is teacher of
Theophrastus,Diogenes II,refers to
Theophrastus,Metrocles,is teacher of
Theopompus,Pherecydes,refers to
Theopompus,Epimenides,refers to
Theopompus,Plato,refers to
Theopompus,Antisthenes,refers to
Thesmophoria,Democritus,is family of
Thraso II,Antigonus III,is associated with
Thraso II,Athenae,is from
Thrasybulus,Thales,is associated with
Thrasybulus,Miletus,is from
Thrasybulus,Periander,is friend of
Thrasylus,Demetrius,refers to
Thrasylus,Democritus,refers to
Thrasylus,Poseidon,refers to
Thrasylus,Plato,refers to
Thrasylus,Melanthus,refers to
Thrasylus,Codrus,refers to
Thrasylus,Oenopides,refers to
Thrasylus,Socrates,refers to
Thrasylus,Anaxagoras,refers to
Thrasymachus,Stilpo,is teacher of
Thrasymachus,Corinth,is from
Thrasymachus,Ichthyas,is friend of
Thucydides,Pericles,is adversary of
Thyrion,Bathycles,is family of
Timaeus,Selinuntines,is adversary of
Timaeus,Pythagoras,refers to
Timaeus,Epimenides,refers to
Timaeus,Herpyllis,refers to
Timaeus,Empedocles,refers to
Timaeus,Permenides,refers to
Timaeus,Nicomachus III,refers to
Timaeus,Aristotle,refers to
Timaeus,Moeris,refers to
Timaeus,Heraclides,refers to
Timarchus II,Alexandria at Egypt,is from
Timocrates,Zeno II,refers to
Timocrates,Metrodorus,is family of
Timolaus,Cyzicus,is from
Timon,Democritus,refers to
Timon,Diodorus,refers to
Timon,Cleanthes,refers to
Timon,Heraclitus,refers to
Timon,Xenophon,refers to
Timon,Anaxagoras,refers to
Timon,Menedemus,refers to
Timon,Pythagoras,refers to
Timon,Aristotle,refers to
Timon,Protagoras,refers to
Timon,Parmenides,refers to
Timon,Pyrrho,refers to
Timon,Phlius,is from
Timon,Zeno,refers to
Timon,Socrates,refers to
Timon,Aeschines,refers to
Timon,Ariston IV,refers to
Timon,Thales,refers to
Timon,Hellas,refers to
Timon,Aristippus,refers to
Timon,Arcesilaus,refers to
Timon,Zeno II,refers to
Timon,Melissus,refers to
Timon,Xenophanes,refers to
Timon,Plato,refers to
Timon,Hecademus,refers to
Timon,Chalcedon,traveled to
Timon,Thebes,traveled to
Timon,Elis,traveled to
Timon,Nicolochus,is teacher of
Timon,Dioscurides II,is teacher of
Timon,Timarchus III,is family of
Timon,Propontis,traveled to
Timon,Antisthenes,refers to
Timon,Euphranor,is teacher of
Timon,Hellespont,traveled to
Timon,Stilpo,is friend of
Timon,Praulus,is teacher of
Timon,Megara (Attica),traveled to
Timon,Athenae,traveled to
Timon,Epicurus,refers to
Timonides,Bion,refers to
Timonides,Speusippus,sent letters to
Timotheus,Zeno II,refers to
Timotheus,Aristotle,refers to
Timotheus,Athenae,is from
Timotheus,Plato,refers to
Tycho,Aristotle,is associated with
Tyrraeus,Pittacus,is family of
Tyrrhenians,Tyrrhenian Sea,is from
Tyrrhenus,Pythagoras,is family of
Xanthus,Empedocles,refers to
Xanthus II,Athenae,is from
Xanthus II,Arcesilaus,is teacher of
Xanthus III,Timon,is family of
Xeniades,Corinth,is from
Xeniades,Diogenes II,is associated with
Xenocrates,Crantor,is teacher of
Xenocrates,Phryne,is associated with
Xenocrates,Dionysius II,is associated with
Xenocrates,Academy of Plato (Athens),traveled to
Xenocrates,Chalcedon,is from
Xenocrates,Zeno II,is teacher of
Xenocrates,Lais,is associated with
Xenocrates,Speusippus,is associated with
Xenocrates,Bion,is associated with
Xenocrates,Sicily,traveled to
Xenocrates,Philip,is associated with
Xenocrates,Antipater II,is associated with
Xenocrates,Aristotle,is adversary of
Xenocrates,Epicurus,is teacher of
Xenophanes,Elea,traveled to
Xenophanes,Dexius,is family of
Xenophanes,Homer,is adversary of
Xenophanes,Parmenides,is teacher of
Xenophanes,Anaximander,is associated with
Xenophanes,Heraclitus,is teacher of
Xenophanes,Orthomenes,is family of
Xenophanes,Thales,is adversary of
Xenophanes,Zancle,traveled to
Xenophanes,Colophon,is from
Xenophanes,Pythagoras,refers to
Xenophanes,Epimenides,is adversary of
Xenophanes,Katane,traveled to
Xenophanes,Hesiod,is adversary of
Xenophanes,Sicily,traveled to
Xenophanes II,Lesbos,is from
Xenophilus,Thracian,is associated with
Xenophilus,Chalcidice,is from
Xenophon,Seuthes,is associated with
Xenophon,Philesia,is family of
Xenophon,Corinth,traveled to
Xenophon,Dardanus,is associated with
Xenophon,Skillous,traveled to
Xenophon,Elis,traveled to
Xenophon,Clinias,is friend of
Xenophon,Pontus,traveled to
Xenophon,Glaucon II,refers to
Xenophon,Cyrus II,is friend of
Xenophon,Athenae,is from
Xenophon,Gryllus III?,is family of
Xenophon,Hellas,traveled to
Xenophon,Asia,traveled to
Xenophon,Thebes,is adversary of
Xenophon,Proxenus,is friend of
Xenophon,Lepreum,traveled to
Xenophon,Thucydides II,studied the work of
Xenophon,Apollonides II,is associated with
Xenophon,Gryllus II,is family of
Xenophon,The Thirty,refers to
Xenophon,Glaucon,refers to
Xenophon,Socrates,is friend of
Xenophon,Diodorus V,is family of
Xenophon,Plato,is associated with
Xenophon,Delium,traveled to
Xenophon,Megabyzus,is friend of
Xenophon,Antisthenes,refers to
Xenophon III,Epaminondas,refers to
Xenophon III,Pelopidas,refers to
Xenophon III,Pythostratus,is family of
Xenophon IV,Hannibal,refers to
Xenophon VI,Kos,is from
Xenophon VII,Paros,is from
Xerxes,Democritus,is benefactor of
Zamolxis,Cronos,is associated with
Zamolxis,Pythagoras,is family of
Zeno,Elea,is from
Zeno,Hesiod,refers to
Zeno,Leucippus,is teacher of
Zeno,Teleutagoras,is family of
Zeno,Lipara,traveled to
Zeno,Empedocles,is associated with
Zeno,Nearchus,is adversary of
Zeno II,Antisthenes II,studied the work of
Zeno II,Socrates,refers to
Zeno II,Kition (Cyprus),is from
Zeno II,Posidonius II,is teacher of
Zeno II,Athenodorus,is teacher of
Zeno II,Pythagoras II,refers to
Zeno II,Halcyoneus,is teacher of
Zeno II,Dionysius IV,is teacher of
Zeno II,Ariston IV,is teacher of
Zeno II,Piraeus,traveled to
Zeno II,Euripides,refers to
Zeno II,Persaeus,is teacher of
Zeno II,Xenophon,studied the work of
Zeno II,Herillus,is teacher of
Zeno II,Sphaerus,is teacher of
Zeno II,Phoenicia,is from
Zeno II,Philonides,is teacher of
Zeno II,Caphisius,refers to
Zeno II,Callippus II,is teacher of
Zeno II,Cleanthes,is teacher of
Zeno II,Cyprus,is from
Zeno II,Athenae,traveled to
Zeno II,Homer,refers to
Zeno II,Zeno IX,is teacher of
Zeno IV,Sidon,is from
Zeno IX,Sidon,is from
Zenodotus,Anaxagoras IV,is teacher of
