Source,Target,Relation
Alexander II,Carneades,refers to
Alexander II,Damon,refers to
Alexander II,Pherecydes,refers to
Alexander II,Socrates,refers to
Alexander II,Philocomus,refers to
Alexander II,Xenocrates,is benefactor of
Alexander II,Chrysippus,refers to
Alexander II,Plato,refers to
Alexander IV,Timon,is associated with
Alexinus,Elis,is from
Alexinus,Dionysius IV,is teacher of
Alexinus,Olympian Zeus sanctuary (Eleia),traveled to
Alexinus,Zeno,refers to
Alexinus,Ephorus,refers to
Alexis,Plato,refers to
Alexis II,Plato,is friend of
Alexo,Thyrion,refers to
Alexo,Myndus,is from
Alyattes,Croesus,is family of
Alyattes,Bias,is adversary of
Amasis,Pythagoras,is associated with
Ambryon,Borboros,refers to
Ambryon,Theocritus,refers to
Ambryon,Aristotle,refers to
Ameinias IV,Diochaetas,is family of
Ameipsias,Socrates,refers to
Amphicrates,Theodorus,refers to
Amphicritus,Arcesilaus,is friend of
Amphicritus,Eretria,is from
Amphis,Plato,refers to
Amyclas,Plato,is associated with
Amyclas,Pythagoreans,is associated with
Amyclus,Heraclea,is from
Amyntas,Aristotle,is friend of
Amyntas,Philip,is family of
Amyntas,Macedonia,is from
Amyntas,Macedon,is from
Anacharsis,Gnurus,is family of
Anacharsis,Sardis,traveled to
Anacharsis,Athenae,traveled to
Anacharsis,Croesus,sent letters to
Anacharsis,Skythai,is from
Anaxagoras,Democritus,is teacher of
Anaxagoras,Damon,is teacher of
Anaxagoras,Archelaus,is teacher of
Anaxagoras,Halicarnassus,traveled to
Anaxagoras,Aegospotami,is associated with
Anaxagoras,Xenophanes,is associated with
Anaxagoras,Pericles,is teacher of
Anaxagoras,Hegesibulus,is family of
Anaxagoras,Lampsacus,traveled to
Anaxagoras,Athenae,traveled to
Anaxagoras,Socrates,is teacher of
Anaxagoras,Ionia region (Asia Minor),traveled to
Anaxagoras,Clazomenae,is from
Anaxagoras,Empedocles,is teacher of
Anaxagoras,Persia,is associated with
Anaxagoras,Homer,refers to
Anaxagoras,Eubulus II,is family of
Anaxagoras,Olympian Zeus sanctuary (Eleia),traveled to
Anaxagoras,Euripides,is teacher of
Anaxandrides,Plato,refers to
Anaxarchus,Abdera,is from
Anaxarchus,Nicocreon,is adversary of
Anaxarchus,Zeus,is associated with
Anaxarchus,Persephone,is associated with
Anaxarchus,Alexander,is associated with
Anaxarchus,Cyprus,traveled to
Anaxilaides,Ariston V,refers to
Anaxilaides,Plato,refers to
Anaxilaides,Perictione,refers to
Anaxilas,Plato,refers to
Anaxilaus,Myson,refers to
Anaximander,Apollodorus,refers to
Anaximander,Parmenides,is teacher of
Anaximander,Anaximenes,is teacher of
Anaximander,Empedocles,is adversary of
Anaximander,Miletus,is from
Anaximander,Praxiades,is family of
Anaximander II,Miletus,is from
Anaximenes,Samos,refers to
Anaximenes,Seven Sages,refers to
Anaximenes,Persia,refers to
Anaximenes,Hellas,refers to
Anaximenes,Miletus,is from
Anaximenes,Anaxagoras,is teacher of
Anaximenes,Crotone,refers to
Anaximenes,Eurystratus,is family of
Anaximenes,Ionia region (Asia Minor),refers to
Anaximenes,Thales,refers to
Anaximenes,Italy,refers to
Anaximenes,Sicily,refers to
Anaximenes,Diogenes,is teacher of
Anaximenes,Pythagoras,sent letters to
Anaximenes II,Lampsacus,is from
Anaximenes II,Alexander,refers to
Anaximenes III,Lampsacus,is from
Anaximenes III,Anaximenes II,is family of
Anchipylus,Elis,is from
Anchitus,Asclepius,is family of
Andron,Chilon,refers to
Andron,Aristodemus,refers to
Androsthenes,Onesicritus,is family of
Anniceris,Plato,is friend of
Anniceris,Theodorus,is teacher of
Anniceris,Cyrene,is from
Antagoras,Crates,refers to
Antagoras,Polemo,refers to
Anticlides,Moeris,refers to
Anticlides,Pythagoras,refers to
Antidorus,Epicurus,is adversary of
Antigonus,Megara (Attica),is associated with
Antigonus,Lysimachia,traveled to
Antigonus,Lyco,refers to
Antigonus,Polemo,refers to
Antigonus,Crantor,refers to
Antigonus,Eretria,is associated with
Antigonus,Crates,refers to
Antigonus,Carystus,is from
Antigonus,Zeno II,refers to
Antigonus,Eurylochus II,is associated with
Antigonus,Democritus III,refers to
Antigonus,Pyrrho,refers to
Antigonus,Persaeus,is associated with
Antigonus,Anaxagoras III,refers to
Antigonus,Philostratus,refers to
Antigonus,Timon,refers to
Antigonus III,Zeno II,is benefactor of
Antigonus III,Lyco,refers to
Antigonus III,Macedonia,is from
Antigonus III,Cleanthes,is benefactor of
Antigonus III,Athenae,traveled to
Antilochus,Lemnos,is from
Antilochus,Socrates,is adversary of
Antiochus,Theiodas,is teacher of
Antiochus,Menodotus II,is teacher of
Antiochus,Laodicea,is from
Antipater,Aristotle,is family of
Antipater,Cyrene,is from
Antipater,Epitimides,is teacher of
Antipater III,Tyre,is from
Antipater IV,Tarsus,is from
Antipater IV,Heraclides IV,is teacher of
Antipater V,Zeno II,refers to
Antiphon,Pythagoras,refers to
Antishenes,Democritus,refers to
Antishenes,Anytus,refers to
Antishenes,Heraclitus,refers to
Antishenes,Zeno,refers to
Antishenes,Diogenes,refers to
Antishenes,Anniceris,refers to
Antishenes,Lycon,refers to
Antishenes,Meletus,refers to
Antishenes,Dionysius V,refers to
Antishenes,Theodorus,refers to
Antisthenes,Athenae,is from
Antisthenes,Heraclitus,refers to
Antisthenes,Meletus,is adversary of
Antisthenes,Diogenes II,is teacher of
Antisthenes II,Cleanthes,refers to
Antisthenes II,Sophocles,refers to
Antisthenes II,Phemonoe,refers to
Antisthenes II,Chilon,refers to
Antisthenes II,Anaximenes,refers to
Antisthenes II,Zeno,refers to
Antisthenes II,Democritus,refers to
Antisthenes II,Diogenes,refers to
Antisthenes II,Crates II,refers to
Antisthenes II,Diogenes II,refers to
Antisthenes II,Heraclitus,refers to
Antisthenes V,Antisthenes,is family of
Anytus,Socrates,is adversary of
Anytus,Heraclea,traveled to
Anytus,Aristophanes,is associated with
Anytus,Athenae,is from
Anytus,Antisthenes,is adversary of
Apollodorus,Apsephion,refers to
Apollodorus,Socrates,refers to
Apollodorus,Plato,refers to
Apollodorus,Empedocles,refers to
Apollodorus,Eudoxus III,refers to
Apollodorus,Strato,refers to
Apollodorus,Zeno,refers to
Apollodorus,Carneades,refers to
Apollodorus,Mitylene,refers to
Apollodorus,Anaxagoras,refers to
Apollodorus,Aristotle,refers to
Apollodorus,Melissus,refers to
Apollodorus,Xenophanes,refers to
Apollodorus,Anaximenes,refers to
Apollodorus,Thales,refers to
Apollodorus,Protagoras,refers to
Apollodorus,Crates,refers to
Apollodorus,Pythagoras,refers to
Apollodorus,Eudoxus,refers to
Apollodorus,Democritus,refers to
Apollodorus,Arcesilaus,refers to
Apollodorus,Pyrrho,refers to
Apollodorus,Epicurus,refers to
Apollodorus II,Solon,refers to
Apollodorus III,Solon,refers to
Apollodorus IV,Socrates,is friend of
Apollodorus V,Epicurus,refers to
Apollodorus V,Chrysippus,refers to
Apollodorus VI,Cyzicus,is from
Apollodorus VI,Philolaus,refers to
Apollodorus VI,Democritus,refers to
Apollodorus VII,Pythagoras,refers to
Apollodorus VIII,Democritus,refers to
Apollodorus VIII,Leucippus,refers to
Apollodorus VIII,Epicurus,refers to
Apollodorus VIII,Zeno IV,is teacher of
Apollodorus X,Archelaus,is family of
Apollonides,Timarchus III,refers to
Apollonides,Nicaea,is from
Apollonides,Timon,refers to
Apollonius II,Crates II,refers to
Apollonius II,Zeno II,refers to
Apollonius II,Stilpo,refers to
Apollonius II,Tyre,is from
Apollothemis,Diogenes,is family of
Apsephion,Athenae,is from
Aratus,Timon,is associated with
Arcesilaus,Epicurus,refers to
Arcesilaus,Sophocles,studied the work of
Arcesilaus,Attalus,refers to
Arcesilaus,Theophrastus,refers to
Arcesilaus,Pylades II,is family of
Arcesilaus,Polemo,is associated with
Arcesilaus,Pythocles,is associated with
Arcesilaus,Archecrates,studied the work of
Arcesilaus,Philetaerus,is family of
Arcesilaus,Menodorus,refers to
Arcesilaus,Alexinus,refers to
Arcesilaus,Moereas,is family of
Arcesilaus,Eugamus,is associated with
Arcesilaus,Pyrrho,studied the work of
Arcesilaus,Homer,studied the work of
Arcesilaus,Seuthes II,is family of
Arcesilaus,Thaumasias,is family of
Arcesilaus,Callicrates,studied the work of
Arcesilaus,Philoxenus,refers to
Arcesilaus,Ctesibius II,is friend of
Arcesilaus,Chrysippus,is teacher of
Arcesilaus,Hierocles,is friend of
Arcesilaus,Demetrius XXVIII,is friend of
Arcesilaus,Archias,is associated with
Arcesilaus,Demochares,is associated with
Arcesilaus,Aridices,is associated with
Arcesilaus,Hemon,is adversary of
Arcesilaus,Pitane,is from
Arcesilaus,Diogenes XIII,is friend of
Arcesilaus,Euripides,studied the work of
Arcesilaus,Athenae,traveled to
Arcesilaus,Plato,studied the work of
Arcesilaus,Aeolis,is from
Arcesilaus,Menedemus,is associated with
Arcesilaus,Sardis,traveled to
Arcesilaus,Cleanthes,is adversary of
Arcesilaus,Phila,is friend of
Arcesilaus,Diodorus,studied the work of
Arcesilaus,Demetrias (Magnesia),traveled to
Arcesilaus,Theodete,is friend of
Arcesilaus,Pindar,studied the work of
Arcesilaus,Halcyoneus,is associated with
Arcesilaus,Crates,is teacher of
Arcesilaus,Antigonus III,sent letters to
Arcesilaus II,Strato,is family of
Arcesilaus II,Lampsacus,is from
Archagoras,Theodotus,is family of
Archelaus,Xenophanes,is teacher of
Archelaus,Miletus,is from
Archelaus,Apollodorus,is family of
Archelaus,Athenae,is from
Archelaus,Samos,traveled to
Archelaus,Oenopides,is associated with
Archelaus,Socrates,is teacher of
Archelaus,Midon,is family of
Archelaus II,Macedonia,is from
Archelaus II,Macedon,is from
Archetimus,Syracuse,is from
Archetimus,Seven Sages,refers to
Archias,Arkadia region,is from
Archias,Eumenes,is associated with
Archilochus,Sceptics,is associated with
Archipolis,Menedemus,is associated with
Archipolis,Asclepiades,is associated with
Archippus,Milo,traveled to
Archytas,Mnesagoras,is family of
Archytas,Lamiscus,refers to
Archytas,Lucania,traveled to
Archytas,Plato,sent letters to
Archytas,Eudoxus,is teacher of
Archytas,Teucer,refers to
Archytas,Taras/Tarentum/Neptunia,is from
Archytas,Ocellus,is associated with
Archytas,Photidas,is associated with
Archytas,Dionysius II,sent letters to
Ariarathes,Cappadocia,is from
Arieus,Herodotus II,is family of
Aristagoras,Eudoxus,is family of
Aristagoras,Chrysippus VI,is family of
Aristides,Sophroniscus II,is family of
Aristides,Paeonius,is teacher of
Aristippus,Aeschines,is friend of
Aristippus,Artaphernes,is associated with
Aristippus,Polyxenus,is associated with
Aristippus,Alcibiades,refers to
Aristippus,Simus,is adversary of
Aristippus,Xenophon,refers to
Aristippus,Megara (Attica),traveled to
Aristippus,The Cyrenaics,is teacher of
Aristippus,Pausanians,refers to
Aristippus,Asia,traveled to
Aristippus,Pausanias,refers to
Aristippus,Arete,is family of
Aristippus,Paris,refers to
Aristippus,Cyrene,is from
Aristippus,Corinth,traveled to
Aristippus,Athenae,traveled to
Aristippus,Eutychides,is associated with
Aristippus,Son of Aristippus II,is family of
Aristippus,Pythagoras,refers to
Aristippus,Persian King,refers to
Aristippus,Clinias,refers to
Aristippus,Socrates,refers to
Aristippus,Aethiops,is teacher of
Aristippus,Dionysius II,is friend of
Aristippus II,Theophrastus,refers to
Aristippus II,Polemo,refers to
Aristippus II,Crateia,refers to
Aristippus II,Xenocrates,refers to
Aristippus II,Periander,refers to
Aristippus II,Dion,refers to
Aristippus II,Phaedrus,refers to
Aristippus II,Aster,refers to
Aristippus II,Plato,refers to
Aristippus IV,Aristippus,is family of
Aristippus IV,Arete,is family of
Aristippus IV,Theodorus,is teacher of
Aristippus VI,Concubine of Hermias,refers to
Aristippus VI,Aristotle,refers to
Aristippus VI,Hermias,refers to
Aristocles III,Zeno II,is associated with
Aristocrates,Eristheneia,is family of
Aristodemus,Sparta,is from
Aristodemus,Chilon,is associated with
Aristodemus,Eristheneia,is family of
Aristogoras,Miletus,is from
Aristomenes,Aristotle,is associated with
Aristomenes,Dion,is associated with
Aristomenes,Dionysius,is associated with
Ariston,Heraclitus,refers to
Ariston,Ceos,is from
Ariston,Strato,refers to
Ariston,Socrates,is associated with
Ariston,Epicurus,refers to
Ariston,Nausiphanes,refers to
Ariston,Pamphilus,refers to
Ariston IV,Diodorus,refers to
Ariston IV,Arcesilaus,is adversary of
Ariston IV,Miltiades II,is family of
Ariston IV,Chios (island),is from
Ariston IV,Miltiades III,is teacher of
Ariston IV,Pyrrho,refers to
Ariston IV,Diphilus III,is teacher of
Ariston IV,Odysseus,refers to
Ariston V,Athenae,is from
Ariston V,Codrus,is family of
Ariston VI,Plato,is teacher of
Aristophanes,Euripides,refers to
Aristophanes,Socrates,is adversary of
Aristophanes,Hellas,refers to
Aristophanes,Athenae,refers to
Aristophanes,Pythagoras,is associated with
Aristophanes II,Epicurus,refers to
Aristotle,Nicanor,is associated with
Aristotle, Lyceum (Athens),traveled to
Aristotle,Gryllus II,refers to
Aristotle,Academy of Plato (Athens),traveled to
Aristotle,Callisthenes,is family of
Aristotle,Athenae,traveled to
Aristotle,Heraclides,is teacher of
Aristotle,Protagoras,refers to
Aristotle,Dioteles,is associated with
Aristotle,Delos,refers to
Aristotle,Zeno,refers to
Aristotle,Anaximenes II,is adversary of
Aristotle,Chalcis,traveled to
Aristotle,Borboros,traveled to
Aristotle,Stagira,is from
Aristotle,Concubine of Hermias,is family of
Aristotle,Pythagoras,refers to
Aristotle,Alexander,is teacher of
Aristotle,Arimnestus,refers to
Aristotle,Euathlus,refers to
Aristotle,Hipparchus,is associated with
Aristotle,Hermias,is family of
Aristotle,Gryllion,refers to
Aristotle,Socrates,refers to
Aristotle,Syria,refers to
Aristotle,Timarchus,is associated with
Aristotle,Thales,refers to
Aristotle,Delphi,refers to
Aristotle,Speusippus,studied the work of
Aristotle,Periander,refers to
Aristotle,Nicanor's mother,refers to
Aristotle,Theophrastus,is associated with
Aristotle,Empedocles,refers to
Aristotle,A Magician,refers to
Aristotle,Xanthippe,refers to
Aristotle,Proxenus,refers to
Aristotle,Myrto,refers to
Aristotle,Mitylene,traveled to
Aristotle,Xenophon,refers to
Aristotle,Macedonia,traveled to
Aristotle,Lamprocles,refers to
Aristotle,Clitarchus,is teacher of
Aristotle,Simmias,is teacher of
Aristotle,Alexamenus,refers to
Aristotle,Plato II,is teacher of
Aristotle,Epicurus,is adversary of
Aristoxenus,Pherecydes,refers to
Aristoxenus,Polymnastus,is associated with
Aristoxenus,Pythagoras,refers to
Aristoxenus,Myson,refers to
Aristoxenus,Thurii,is from
Aristoxenus,Xenophilus,refers to
Aristoxenus,Tyrrhenian Sea,is from
Aristoxenus,Phanton,is associated with
Aristoxenus,Lasos,refers to
Aristoxenus,Socrates,refers to
Aristoxenus,Diocles,is associated with
Aristoxenus,Archytas,refers to
Aristoxenus,Echecrates,is associated with
Aristoxenus,Archelaus,refers to
Aristoxenus,Spintharus,is family of
Aristoxenus,Plato,refers to
Aristoxenus,Heraclides,refers to
Artemon,Thurii,is associated with
Ascanius,Pyrrho,refers to
Ascanius,Abdera,is from
Asclepiades,Menedemus,is friend of
Asclepiades,Wife of Asclepiades,is family of
Asclepiades,Eretria,traveled to
Asclepiades,Phlius,is from
Asclepiades,Elis,traveled to
Ascondas,Crates II,is family of
Aster,Plato,is friend of
Aston,Crotone,is from
Aston,Pythagoras,is associated with
Aston,Croto,is from
Astyanax,Troas,is from
Astyanax II,Lyco,is family of
Athenaeus,Theodorus XVII,is teacher of
Athenaeus II,Epicurus,refers to
Athenaeus III,Metrodorus,is family of
Athenians,Protagoras,is adversary of
Athenians,Zeno II,is friend of
Athenians,Athenae,is from
Athenians,Diogenes,is adversary of
Athenodorus,Melantes,refers to
Athenodorus,Theophrastus,refers to
Athenodorus,Soli,is from
Athenodorus,Democritus,refers to
Athenodorus II,Zeno II,studied the work of
Athenodorus III,Diogenes II,refers to
Athenodorus IV,Polyaenus,is family of
Athlius,Chrysippus VI,is teacher of
Autolycus,Sardis,traveled to
Autolycus,Arcesilaus,is teacher of
Autolycus,Pitane,is from
Bathycles,Thales,is associated with
Bathycles,Arkadia region,is from
Baton,Menippus,is family of
Baton,Pontus,is from
Betion,Menedemus II,is associated with
Betion,Bion,is friend of
Bias,Priene,is from
Bias,Solon,is friend of
Bion,Antigonus III,is adversary of
Bion,Athenae,traveled to
Bion,Chalcis,is associated with
Bion,Borysthenes (Olbia),is from
Bion,Rhodos (island),traveled to
Bion,Philonides,is adversary of
Bion,Amphiaraus,refers to
Bion,Socrates,refers to
Bion,Alcibiades,refers to
Bion,Aristippus,refers to
Bion,Persaeus,is adversary of
Bion,Archytas II,refers to
Boton,Xenophanes,is teacher of
Boton,Athenae,is from
Brontinus,Crotone,is from
Brontinus,Empedocles,is teacher of
Brontinus,Croto,is from
Bryson,Pyrrho,is teacher of
Bryson II,Crates II,is teacher of
Caduidas,Skythai,is from
Caduidas,Anacharsis,is family of
Caeneus,Speusippus,refers to
Caeneus,Isocrates,refers to
Calimachus,Heraclitus III,is associated with
Callaeschrus,Critias,is family of
Calliades,Athenae,is from
Callias II,Socrates,refers to
Callimachus,Pittacus,refers to
Callimachus,Philistion,refers to
Callimachus,Thales,refers to
Callimachus,Euphorbus,refers to
Callimachus,Eudoxus,refers to
Callimachus,Bathycles,refers to
Callimachus,Pythagoras,refers to
Callimachus,Aeschines,refers to
Callimachus,Hyrrhadius,refers to
Callimachus,Archytas,refers to
Callippus,Athenae,is from
Callippus II,Corinth,is from
Callisthenes,Olynthus,is from
Callisthenes,Alexander,is adversary of
Carcinus,Aeschines,is friend of
Carcinus,Syracuse,traveled to
Carcinus,Athenae,is from
Carneades,Mentor,is teacher of
Carneades,Ariarathes,sent letters to
Carneades,Philocomus,is family of
Carneades,Chrysippus,studied the work of
Carneades,Antipater IV,is associated with
Carneades,Clitomachus,is teacher of
Carneades,Epicomus,is family of
Carneades,Cyrene,is from
Carneades,Hegesinus,is associated with
Carneades,Metrodorus V,is teacher of
Carneades,Chryssipus,refers to
Carneades,Epicurus,refers to
Casander,Speusippus,is associated with
Casander,Macedonia,is from
Cassius,Zeno II,is adversary of
Cebes,Thebes,is from
Cephisodorus,Mantinea,traveled to
Cephisodorus,Gryllus II,is associated with
Cephisodorus,Hegesilaus,is associated with
Cephisodorus,Athenae,is from
Cercidas,Creta,is from
Cercidas,Diogenes II,refers to
Cercidas,Megalopolis,is from
Chabrias,Athenae,is from
Chabrias,Plato,is friend of
Chabrinus,Lasos,is family of
Chaeredemus,Epicurus,is family of
Chaldaeans,Persia,is from
Chaldaeans,Babylon,is from
Chaldaeans,Democritus,is teacher of
Chamaeleon,Heraclides,refers to
Chamaeleon,Lycurgus II,refers to
Chamaeleon,Hyperides,refers to
Chamaeleon,Plato,refers to
Charmandrus,Charmandrides,is family of
Charmandrus,Aegina,is from
Charmandrus,Plato,is adversary of
Charmantides,Lasos,is family of
Charondas,Aristippus,is associated with
Chilon,Lacedaemon/Laconia,is from
Chilon,Periander,sent letters to
Chilon,Hippocrates II,is associated with
Chilon,Pisa,traveled to
Chilon,Aesop,is associated with
Choerilus,Thales,refers to
Chonuphis,Heliopolis,is from
Chremonides,Zeno II,is friend of
Chremonides,Cleanthes,is associated with
Chrysippus,Philocrates II,is teacher of
Chrysippus,Tarsus,is from
Chrysippus,Ancient Egypt (region),traveled to
Chrysippus,Aristocreon,is teacher of
Chrysippus,Soli,is from
Chrysippus,Eudoxus,is associated with
Chrysippus,Zeno II,refers to
Chrysippus,Apollonius III,is family of
Chrysippus II,Cnidus,is from
Chrysippus VI,Erineus,is family of
Chrysippus VI,Cnidos,is from
Cleanthes,Athenae,traveled to
Cleanthes,Phanias II,is family of
Cleanthes,Heraclitus,refers to
Cleanthes,Ariston IV,is friend of
Cleanthes,Assos,is from
Cleanthes,Chrysippus,is teacher of
Cleanthes,Sphaerus,is teacher of
Clearchus,Pittacus,refers to
Clearchus,Croesus,refers to
Clearchus,Plato,refers to
Clearchus,Ariston V,refers to
Clearchus,Perictione,refers to
Cleippides,Cyzicus,is from
Cleobulus,Lindus,is from
Cleobulus,Solon,sent letters to
Cleochares,Arcesilaus,is friend of
Cleochares,Myrlea,is from
Cleomenes,Echecles,is teacher of
Cleomenes,Diogenes II,refers to
Cleomenes,Timarchus II,is teacher of
Cleon,Demetrius,is adversary of
Cleon,Anaxagoras,is adversary of
Cleonymus,Euthyphro IV,is family of
Cleonymus,Phlius,is from
Clinias,Plato,is associated with
Clinias,Pythagoreans,is associated with
Clinomachus,Thurii,is from
Clisthenes,Menedemus,is family of
Clitarchus,Cyrenaica,is from
Clitomachus,Athenae,traveled to
Clitomachus,Carthago,is from
Clitomachus,The Cyrenaics,refers to
Codrus,Pisistratus,is family of
Codrus,Poseidon,is family of
Codrus,Melanthus,is family of
Colotes,Lampsacus,is from
Colotes,Menedemus II,is teacher of
Conon,Demetrius,is associated with
Coriscus,Scepsis,is from
Cotys,Thrace,is from
Crantor,Euripides,studied the work of
Crantor,Arcesilaus,is teacher of
Crantor,Antagoras,studied the work of
Crantor,Homer,studied the work of
Crantor,Athenae,traveled to
Crantor,Soli,is from
Crantor,Theophrastus,is associated with
Crates,Antigenes,is family of
Crates,Bion,is teacher of
Crates,Athenae,is from
Crates,Nicostratus,is associated with
Crates,Homer,studied the work of
Crates,Asia,is from
Crates II,Eretria,refers to
Crates II,Zeno II,is teacher of
Crates II,Asclepiades,refers to
Crates II,Menedemus,refers to
Crates II,Phlius,refers to
Crates II,Thebes,is from
Crates II,Hipparchia,is family of
Crates II,Boeotia,traveled to
Crates II,Metrocles,is teacher of
Crates XII,Hellas,traveled to
Crates XII,Heraclitus,studied the work of
Cratinus,Solon,refers to
Cratinus,Pythagoras,is adversary of
Cratinus,Cleobuline II,refers to
Cratinus II,Plato,refers to
Cratylus,Plato,is teacher of
Creophylus,Hermodamas,is family of
Critias,Leon II,is adversary of
Critias II,Callaeschrus,is family of
Crito,Athenae,is from
Crito,Epigenes,is family of
Crito,Hermogenes II,is family of
Crito,Critobulus,is family of
Crito,Ctesippus,is family of
Critobulus,Epigenes,is family of
Critobulus,Hermogenes II,is family of
Critobulus,Ctesippus,is family of
Crobylus,Plato,is adversary of
Crobylus,Chabrias,is adversary of
Crobylus,Athenae,is from
Croesus,Thales,is adversary of
Croesus,Solon,is associated with
Croton,Heraclitus,refers to
Ctesiclides,Athenae,is from
Ctesiclides,Xenophon,refers to
Cybisthus,Thales,is family of
Cylon,Pythagoras,is adversary of
Cylon,Crotone,is from
Cylon,Croto,is from
Cypselus,Periander,is family of
Cypselus II,Periander,is family of
Cypselus II,Lysida,is family of
Daimachus,Croesus,refers to
Daimachus,Plato,studied the work of
Daimachus,Pittacus,refers to
Damagetas,Chilon,is family of
Damasus,Democritus,is family of
Damo,Theano,is family of
Damo,Pythagoras,is family of
Damon,Socrates,is teacher of
Damon,Seven Sages,refers to
Damon,Cyrene,is from
Darius,Hystaspes,is family of
Darius,Heraclitus,sent letters to
Delphis,Eudoxus,is family of
Demetrius,Democritus,refers to
Demetrius,Phalerum,is from
Demetrius,Thales,refers to
Demetrius,Heraclitus,refers to
Demetrius,Diogenes,refers to
Demetrius,Oropus,is associated with
Demetrius,Aristotle,refers to
Demetrius,Antigonus III,is adversary of
Demetrius,Hermias,refers to
Demetrius,Anaxagoras,refers to
Demetrius,Crito,refers to
Demetrius,Socrates,refers to
Demetrius,Xenocrates,is associated with
Demetrius,Theodorus,is friend of
Demetrius,Zeno,refers to
Demetrius,Menander,is friend of
Demetrius,Xenophanes,refers to
Demetrius,Magnesia,is from
Demetrius,Athenae,traveled to
Demetrius,Ptolemy,is associated with
Demetrius,Alexandria at Egypt,traveled to
Demetrius,Telesphorus,is family of
Demetrius,Diogenes II,refers to
Demetrius,Alexander,refers to
Demetrius III,Xenophon,refers to
Demetrius III,Crates II,refers to
Demetrius III,Philolaus,refers to
Demetrius III,Zeno II,refers to
Demetrius III,Thales,refers to
Demetrius III,Aristotle,refers to
Demetrius III,Cleanthes,refers to
Demetrius III,Eubulus III,refers to
Demetrius III,Chrysippus,refers to
Demetrius III,Socrates,refers to
Demetrius III,Mnaseas,refers to
Demetrius III,Hermias,refers to
Demetrius III,Alcmaeon II,refers to
Demetrius III,Demetrius,refers to
Demetrius III,Alexander,refers to
Demetrius III,Epimenides,refers to
Demetrius III,Heraclides,refers to
Demetrius III,Magnesia,is from
Demetrius III,Philesia,refers to
Demetrius III,Corinth,refers to
Demetrius III,Elis,refers to
Demetrius III,Xenocrates,refers to
Demetrius III,Epicurus,refers to
Demetrius III,Onesicritus,refers to
Demetrius III,Heraclitus,refers to
Demetrius IV,Crito,refers to
Demetrius IV,Socrates,refers to
Demetrius IV,Byzantium,is from
Demetrius VI,Amphipolis,is from
Demetrius XXIV,Alexandria at Egypt,is from
Demetrius XXV,Troezen,is from
Demetrius XXV,Empedocles,refers to
Demetrius XXV,Homer,refers to
